Wrong country,فصل,%GT Total Import
امارات متحده عربی,فصل 33,0.11%
امارات متحده عربی,فصل 52,0.11%
فدراسیون روسیه,فصل 44,0.11%
ترکیه,فصل 54,0.10%
مناطق ویژه,فصل 76,0.10%
ترکیه,فصل 86,0.10%
هنگ کنگ,فصل 84,0.10%
برزیل,فصل 24,0.09%
آلمان,فصل 24,0.09%
چین,فصل 81,0.09%
کره (جنوبی),فصل 52,0.09%
امارات متحده عربی,فصل 04,0.09%
ترکیه,فصل 31,0.09%
چین,فصل 31,0.09%
ترکیه,فصل 32,0.09%
ایتالیا,فصل 30,0.09%
هنگ کنگ,فصل 29,0.09%
هند,فصل 29,0.09%
چین,فصل 82,0.09%
چین,فصل 59,0.09%
عراق,فصل 76,0.09%
ایتالیا,فصل 90,0.08%
ترکیه,فصل 33,0.08%
سوریه,فصل 25,0.08%
فدراسیون روسیه,فصل 31,0.08%
ترکیه,فصل 48,0.08%
هند,فصل 38,0.08%
امارات متحده عربی,فصل 83,0.08%
آلمان,فصل 29,0.08%
ایتالیا,فصل 38,0.08%
سنگاپور,فصل 40,0.08%
هنگ کنگ,فصل 12,0.08%
اتریش,فصل 90,0.08%
کره (جنوبی),فصل 39,0.07%
دانمارک,فصل 30,0.07%
سری لانکا,فصل 09,0.07%
چین,فصل 68,0.07%
ترکیه,فصل 52,0.07%
اسپانیا,فصل 30,0.07%
چین,فصل 25,0.07%
ترکیه,فصل 34,0.07%
تایلند,فصل 40,0.07%
مناطق آزاد,فصل 10,0.07%
پاکستان,فصل 12,0.07%
ترکیه,فصل 07,0.07%
ترکیه,فصل 40,0.07%
ترکیه,فصل 30,0.07%
قطر,فصل 39,0.06%
کره (جنوبی),فصل 90,0.06%
هلند,فصل 84,0.06%
ترکیه,فصل 35,0.06%
امارات متحده عربی,فصل 26,0.06%
هند,فصل 84,0.06%
بلاروس,فصل 31,0.06%
سویس,فصل 29,0.06%
چین,فصل 35,0.06%
سویس,فصل 30,0.06%
مغولستان,فصل 02,0.06%
ایتالیا,فصل 85,0.06%
فرانسه,فصل 38,0.06%
انگلستان (بریتانیا),فصل 84,0.06%
قزاقستان,فصل 10,0.05%
پرتغال,فصل 90,0.05%
فدراسیون روسیه,فصل 07,0.05%
چین,فصل 95,0.05%
مالاوی,فصل 24,0.05%
اندونزی,فصل 38,0.05%
آلمان,فصل 18,0.05%
ترکیه,فصل 94,0.05%
بلاروس,فصل 55,0.05%
چین,فصل 83,0.05%
گرجستان,فصل 87,0.05%
عراق,فصل 40,0.05%
آلمان,فصل 68,0.05%
هند,فصل 27,0.05%
ترکیه,فصل 70,0.05%
چین,فصل 34,0.05%
ایرلند,فصل 33,0.05%
چین,فصل 30,0.05%
امارات متحده عربی,فصل 82,0.05%
چین,فصل 74,0.04%
هند,فصل 21,0.04%
مناطق آزاد,فصل 24,0.04%
امارات متحده عربی,فصل 25,0.04%
اندونزی,فصل 44,0.04%
فدراسیون روسیه,فصل 52,0.04%
امارات متحده عربی,فصل 08,0.04%
چین,فصل 96,0.04%
اسپانیا,فصل 31,0.04%
آلمان,فصل 34,0.04%
سوئد,فصل 90,0.04%
ترکیه,فصل 08,0.04%
هند,فصل 02,0.04%
فدراسیون روسیه,فصل 40,0.04%
فدراسیون روسیه,فصل 84,0.04%
مناطق آزاد,فصل 33,0.04%
بنگلادش,فصل 53,0.04%
ویتنام,فصل 09,0.04%
هند,فصل 24,0.04%
انگلستان (بریتانیا),فصل 87,0.04%
آفریقای جنوبی,فصل 44,0.04%
پاکستان,فصل 01,0.04%
ازبکستان,فصل 07,0.04%
آلمان,فصل 69,0.04%
ترکیه,فصل 59,0.04%
چین,فصل 86,0.04%
ایتالیا,فصل 29,0.04%
ترکیه,فصل 56,0.04%
هند,فصل 07,0.04%
عمان,فصل 85,0.04%
ترکیه,فصل 83,0.04%
کره (جنوبی),فصل 40,0.04%
امارات متحده عربی,فصل 35,0.04%
آلمان,فصل 39,0.04%
چین,فصل 69,0.04%
هند,فصل 12,0.04%
امارات متحده عربی,فصل 70,0.03%
هنگ کنگ,فصل 10,0.03%
کره (جنوبی),فصل 38,0.03%
عراق,فصل 87,0.03%
اندونزی,فصل 09,0.03%
چین,فصل 80,0.03%
هنگ کنگ,فصل 38,0.03%
عراق,فصل 85,0.03%
فرانسه,فصل 29,0.03%
امارات متحده عربی,فصل 03,0.03%
هند,فصل 39,0.03%
هنگ کنگ,فصل 39,0.03%
چین,فصل 13,0.03%
هند,فصل 90,0.03%
چین,فصل 56,0.03%
عمان,فصل 29,0.03%
هلند,فصل 38,0.03%
مناطق آزاد,فصل 27,0.03%
هنگ کنگ,فصل 47,0.03%
هند,فصل 72,0.03%
هلند,فصل 29,0.03%
ایالات متحده,فصل 29,0.03%
چین,فصل 58,0.03%
مالزی,فصل 28,0.03%
ایرلند,فصل 30,0.03%
ایالات متحده,فصل 38,0.03%
هنگ کنگ,فصل 48,0.03%
امارات متحده عربی,فصل 20,0.03%
فدراسیون روسیه,فصل 48,0.03%
کویت,فصل 40,0.03%
برزیل,فصل 02,0.03%
آلمان,فصل 32,0.03%
تایوان,فصل 29,0.03%
بلژیک,فصل 90,0.03%
ایتالیا,فصل 87,0.03%
سویس,فصل 12,0.03%
هنگ کنگ,فصل 90,0.03%
کره (جنوبی),فصل 48,0.03%
ژاپن,فصل 90,0.03%
فدراسیون روسیه,فصل 24,0.03%
کره (جنوبی),فصل 73,0.03%
ترکیه,فصل 68,0.03%
سویس,فصل 20,0.03%
استرالیا,فصل 84,0.03%
هنگ کنگ,فصل 28,0.03%
افغانستان,فصل 10,0.03%
هند,فصل 32,0.03%
سویس,فصل 10,0.02%
هند,فصل 28,0.02%
چین,فصل 09,0.02%
لوکزامبورگ,فصل 29,0.02%
اسپانیا,فصل 48,0.02%
استرالیا,فصل 29,0.02%
ایالات متحده,فصل 21,0.02%
تایوان,فصل 39,0.02%
گرجستان,فصل 02,0.02%
امارات متحده عربی,فصل 59,0.02%
عمان,فصل 72,0.02%
ترکیه,فصل 76,0.02%
امارات متحده عربی,فصل 96,0.02%
آلمان,فصل 28,0.02%
فرانسه,فصل 84,0.02%
امارات متحده عربی,فصل 80,0.02%
تایوان,فصل 72,0.02%
تانزانیا,فصل 24,0.02%
افغانستان,فصل 08,0.02%
قطر,فصل 85,0.02%
آلمان,فصل 12,0.02%
بلژیک,فصل 30,0.02%
آلمان,فصل 52,0.02%
هلند,فصل 04,0.02%
چین,فصل 26,0.02%
ایتالیا,فصل 39,0.02%
جمهوری چک,فصل 30,0.02%
اردن,فصل 90,0.02%
آلمان,فصل 73,0.02%
هلند,فصل 06,0.02%
آلمان,فصل 21,0.02%
چین,فصل 60,0.02%
عمان,فصل 90,0.02%
ترکیه,فصل 21,0.02%
مالزی,فصل 29,0.02%
فدراسیون روسیه,فصل 85,0.02%
آلمان,فصل 81,0.02%
امارات متحده عربی,فصل 86,0.02%
بلژیک,فصل 04,0.02%
اندونزی,فصل 15,0.02%
عراق,فصل 47,0.02%
اسپانیا,فصل 33,0.02%
کره (جنوبی),فصل 72,0.02%
کانادا,فصل 90,0.02%
کره (جنوبی),فصل 30,0.02%
هنگ کنگ,فصل 32,0.02%
عراق,فصل 84,0.02%
آلمان,فصل 33,0.02%
اتریش,فصل 29,0.02%
مالزی,فصل 39,0.02%
انگلستان (بریتانیا),فصل 78,0.02%
تایوان,فصل 84,0.02%
عراق,فصل 39,0.02%
ژاپن,فصل 38,0.02%
هلند,فصل 35,0.02%
سوئد,فصل 85,0.02%
امارات متحده عربی,فصل 13,0.02%
گرجستان,فصل 54,0.02%
ترکیه,فصل 96,0.02%
ترکیه,فصل 19,0.02%
انگلستان (بریتانیا),فصل 29,0.02%
اسپانیا,فصل 32,0.02%
لبنان,فصل 31,0.02%
استرالیا,فصل 02,0.02%
هند,فصل 40,0.02%
ایتالیا,فصل 15,0.02%
افغانستان,فصل 12,0.02%
اندونزی,فصل 48,0.02%
فدراسیون روسیه,فصل 02,0.02%
اتریش,فصل 72,0.02%
آلمان,فصل 40,0.02%
امارات متحده عربی,فصل 94,0.02%
ارمنستان,فصل 26,0.02%
هند,فصل 13,0.02%
امارات متحده عربی,فصل 68,0.02%
سویس,فصل 34,0.02%
چین,فصل 91,0.02%
ایالات متحده,فصل 40,0.01%
برزیل,فصل 10,0.01%
اتریش,فصل 33,0.01%
امارات متحده عربی,فصل 11,0.01%
ایتالیا,فصل 34,0.01%
بلاروس,فصل 47,0.01%
هند,فصل 25,0.01%
افغانستان,فصل 25,0.01%
انگلستان (بریتانیا),فصل 85,0.01%
کره (جنوبی),فصل 29,0.01%
انگلستان (بریتانیا),فصل 39,0.01%
هند,فصل 35,0.01%
امارات متحده عربی,فصل 95,0.01%
کره (جنوبی),فصل 74,0.01%
ژاپن,فصل 40,0.01%
ایتالیا,فصل 10,0.01%
زامبیا,فصل 24,0.01%
عمان,فصل 38,0.01%
چین,فصل 44,0.01%
هنگ کنگ,فصل 80,0.01%
فیلیپین,فصل 08,0.01%
ترکمنستان,فصل 52,0.01%
چین,فصل 15,0.01%
تایلند,فصل 35,0.01%
ترکیه,فصل 27,0.01%
آلمان,فصل 74,0.01%
سویس,فصل 33,0.01%
دانمارک,فصل 21,0.01%
ترکیه,فصل 58,0.01%
امارات متحده عربی,فصل 75,0.01%
سویس,فصل 48,0.01%
اتریش,فصل 39,0.01%
اسپانیا,فصل 85,0.01%
اسپانیا,فصل 29,0.01%
ایتالیا,فصل 73,0.01%
ازبکستان,فصل 31,0.01%
مناطق ویژه,فصل 85,0.01%
تایوان,فصل 85,0.01%
سویس,فصل 85,0.01%
چین,فصل 24,0.01%
استرالیا,فصل 30,0.01%
هلند,فصل 31,0.01%
تایلند,فصل 84,0.01%
بلژیک,فصل 39,0.01%
هلند,فصل 17,0.01%
فدراسیون روسیه,فصل 73,0.01%
فدراسیون روسیه,فصل 28,0.01%
امارات متحده عربی,فصل 58,0.01%
امارات متحده عربی,فصل 69,0.01%
اتریش,فصل 02,0.01%
ایرلند,فصل 38,0.01%
آلمان,فصل 55,0.01%
کره (جنوبی),فصل 98,0.01%
تایوان,فصل 90,0.01%
ایتالیا,فصل 33,0.01%
اسپانیا,فصل 39,0.01%
مالزی,فصل 48,0.01%
ایالات متحده,فصل 90,0.01%
ایتالیا,فصل 31,0.01%
برزیل,فصل 87,0.01%
آلمان,فصل 07,0.01%
سویس,فصل 56,0.01%
هلند,فصل 39,0.01%
اسپانیا,فصل 84,0.01%
انگلستان (بریتانیا),فصل 90,0.01%
تایلند,فصل 44,0.01%
انگلستان (بریتانیا),فصل 40,0.01%
سویس,فصل 24,0.01%
فرانسه,فصل 33,0.01%
اندونزی,فصل 08,0.01%
ایرلند,فصل 90,0.01%
قزاقستان,فصل 84,0.01%
سنگاپور,فصل 03,0.01%
اسپانیا,فصل 38,0.01%
افغانستان,فصل 52,0.01%
ارمنستان,فصل 44,0.01%
مالزی,فصل 84,0.01%
ترکیه,فصل 82,0.01%
عراق,فصل 35,0.01%
هلند,فصل 13,0.01%
سویس,فصل 39,0.01%
کره (جنوبی),فصل 32,0.01%
عمان,فصل 28,0.01%
اتریش,فصل 27,0.01%
ترکیه,فصل 81,0.01%
آلمان,فصل 48,0.01%
چین,فصل 49,0.01%
چین,فصل 08,0.01%
مناطق آزاد,فصل 90,0.01%
امارات متحده عربی,فصل 81,0.01%
رومانی,فصل 02,0.01%
بنگلادش,فصل 24,0.01%
امارات متحده عربی,فصل 50,0.01%
آلمان,فصل 70,0.01%
امارات متحده عربی,فصل 37,0.01%
امارات متحده عربی,فصل 91,0.01%
چین,فصل 21,0.01%
ترکیه,فصل 60,0.01%
لبنان,فصل 18,0.01%
هنگ کنگ,فصل 94,0.01%
لهستان,فصل 48,0.01%
عراق,فصل 44,0.01%
کانادا,فصل 38,0.01%
انگلستان (بریتانیا),فصل 19,0.01%
اسپانیا,فصل 20,0.01%
چین,فصل 37,0.01%
بلژیک,فصل 84,0.01%
عمان,فصل 91,0.01%
آلمان,فصل 59,0.01%
اسپانیا,فصل 72,0.01%
فرانسه,فصل 05,0.01%
سنگاپور,فصل 85,0.01%
ایرلند,فصل 28,0.01%
امارات متحده عربی,فصل 06,0.01%
هند,فصل 85,0.01%
ترکیه,فصل 25,0.01%
مالزی,فصل 55,0.01%
اتیوپی,فصل 07,0.01%
عمان,فصل 87,0.01%
سری لانکا,فصل 84,0.01%
سری لانکا,فصل 76,0.01%
گرجستان,فصل 44,0.01%
استرالیا,فصل 12,0.01%
ایتالیا,فصل 82,0.01%
هلند,فصل 33,0.01%
جمهوری آذربایجان,فصل 84,0.01%
پرتغال,فصل 30,0.01%
تایوان,فصل 73,0.01%
اسپانیا,فصل 23,0.01%
افغانستان,فصل 07,0.01%
نروژ,فصل 84,0.01%
اتریش,فصل 48,0.01%
آلمان,فصل 31,0.01%
اتریش,فصل 38,0.01%
لهستان,فصل 85,0.01%
ایتالیا,فصل 32,0.01%
چین,فصل 51,0.01%
تایلند,فصل 20,0.01%
فرانسه,فصل 39,0.01%
عمان,فصل 33,0.01%
هند,فصل 54,0.01%
لوکزامبورگ,فصل 30,0.01%
اسپانیا,فصل 90,0.01%
کره (جنوبی),فصل 33,0.01%
ازبکستان,فصل 50,0.01%
مالزی,فصل 90,0.01%
امارات متحده عربی,فصل 92,0.01%
ترکیه,فصل 80,0.01%
هند,فصل 08,0.01%
هند,فصل 98,0.01%
چین,فصل 75,0.01%
انگلستان (بریتانیا),فصل 26,0.01%
ترکیه,فصل 69,0.01%
کویت,فصل 33,0.01%
فرانسه,فصل 85,0.01%
اسپانیا,فصل 35,0.01%
کانادا,فصل 29,0.01%
سوئد,فصل 84,0.01%
بلاروس,فصل 44,0.01%
لهستان,فصل 23,0.01%
هند,فصل 30,0.01%
هند,فصل 20,0.01%
هند,فصل 76,0.01%
عراق,فصل 83,0.01%
استرالیا,فصل 31,0.01%
انگلستان (بریتانیا),فصل 30,0.01%
فدراسیون روسیه,فصل 27,0.01%
اسپانیا,فصل 68,0.01%
ترکیه,فصل 74,0.01%
گرجستان,فصل 30,0.01%
گرجستان,فصل 84,0.01%
ترکیه,فصل 13,0.01%
فدراسیون روسیه,فصل 30,0.01%
پاکستان,فصل 05,0.01%
آلمان,فصل 05,0.01%
سویس,فصل 84,0.01%
عمان,فصل 39,0.01%
آلمان,فصل 35,0.01%
امارات متحده عربی,فصل 60,0.01%
هند,فصل 87,0.01%
ایرلند,فصل 29,0.01%
ایتالیا,فصل 44,0.01%
هلند,فصل 94,0.01%
هند,فصل 48,0.01%
استرالیا,فصل 68,0.01%
هلند,فصل 37,0.01%
ایرلند,فصل 39,0.01%
مالزی,فصل 38,0.01%
ارمنستان,فصل 02,0.01%
آلمان,فصل 37,0.01%
پرتغال,فصل 48,0.01%
اردن,فصل 31,0.01%
ایتالیا,فصل 69,0.01%
ایتالیا,فصل 21,0.01%
فرانسه,فصل 51,0.01%
تایلند,فصل 07,0.01%
کانادا,فصل 07,0.01%
آلمان,فصل 76,0.01%
چین,فصل 17,0.01%
ایتالیا,فصل 98,0.01%
جمهوری چک,فصل 55,0.01%
هند,فصل 14,0.01%
ترکیه,فصل 26,0.00%
عراق,فصل 73,0.00%
کنیا,فصل 09,0.00%
هنگ کنگ,فصل 73,0.00%
ازبکستان,فصل 38,0.00%
عراق,فصل 48,0.00%
هلند,فصل 30,0.00%
کانادا,فصل 05,0.00%
پرتغال,فصل 84,0.00%
امارات متحده عربی,فصل 74,0.00%
مناطق ویژه,فصل 10,0.00%
بلژیک,فصل 35,0.00%
ترکیه,فصل 95,0.00%
اردن,فصل 06,0.00%
زامبیا,فصل 26,0.00%
بلژیک,فصل 31,0.00%
بلژیک,فصل 34,0.00%
ایتالیا,فصل 27,0.00%
بلژیک,فصل 23,0.00%
چین,فصل 89,0.00%
اوگاندا,فصل 09,0.00%
آلمان,فصل 23,0.00%
اسلواکی,فصل 84,0.00%
کره (جنوبی),فصل 25,0.00%
سوئد,فصل 31,0.00%
مناطق آزاد,فصل 70,0.00%
هنگ کنگ,فصل 68,0.00%
ایرلند,فصل 34,0.00%
عراق,فصل 54,0.00%
ایالات متحده,فصل 85,0.00%
تایوان,فصل 32,0.00%
آلمان,فصل 51,0.00%
تایلند,فصل 48,0.00%
ایتالیا,فصل 72,0.00%
عراق,فصل 10,0.00%
اسپانیا,فصل 28,0.00%
جمهوری آذربایجان,فصل 23,0.00%
فرانسه,فصل 13,0.00%
فیلیپین,فصل 13,0.00%
هند,فصل 15,0.00%
مناطق آزاد,فصل 30,0.00%
سنگاپور,فصل 29,0.00%
هند,فصل 83,0.00%
اسلوونی,فصل 90,0.00%
لهستان,فصل 21,0.00%
هنگ کنگ,فصل 87,0.00%
سیشل,فصل 03,0.00%
سویس,فصل 98,0.00%
کانادا,فصل 96,0.00%
تایوان,فصل 38,0.00%
انگلستان (بریتانیا),فصل 38,0.00%
جمهوری آذربایجان,فصل 85,0.00%
اتریش,فصل 85,0.00%
اسپانیا,فصل 40,0.00%
آلمان,فصل 56,0.00%
اتریش,فصل 13,0.00%
انگلستان (بریتانیا),فصل 32,0.00%
جمهوری چک,فصل 25,0.00%
چین,فصل 33,0.00%
ترکیه,فصل 20,0.00%
لوکزامبورگ,فصل 32,0.00%
قرقیزستان,فصل 31,0.00%
بلژیک,فصل 07,0.00%
اندونزی,فصل 98,0.00%
هلند,فصل 05,0.00%
کره (جنوبی),فصل 82,0.00%
انگلستان (بریتانیا),فصل 25,0.00%
بلژیک,فصل 38,0.00%
لیتوانی,فصل 30,0.00%
آروبا,فصل 85,0.00%
اندونزی,فصل 29,0.00%
هند,فصل 41,0.00%
عمان,فصل 73,0.00%
اسپانیا,فصل 12,0.00%
کانادا,فصل 84,0.00%
فدراسیون روسیه,فصل 39,0.00%
عمان,فصل 48,0.00%
انگلستان (بریتانیا),فصل 73,0.00%
تایلند,فصل 98,0.00%
چین,فصل 23,0.00%
نروژ,فصل 03,0.00%
قزاقستان,فصل 87,0.00%
تایوان,فصل 82,0.00%
جمهوری چک,فصل 85,0.00%
اسلواکی,فصل 39,0.00%
ترکیه,فصل 75,0.00%
ایتالیا,فصل 48,0.00%
ونزوئلا,فصل 84,0.00%
پاکستان,فصل 02,0.00%
ازبکستان,فصل 08,0.00%
امارات متحده عربی,فصل 53,0.00%
اسلواکی,فصل 29,0.00%
چین,فصل 47,0.00%
ازبکستان,فصل 25,0.00%
قزاقستان,فصل 23,0.00%
لوکزامبورگ,فصل 44,0.00%
بلغارستان,فصل 85,0.00%
لوکزامبورگ,فصل 13,0.00%
ایتالیا,فصل 28,0.00%
اتریش,فصل 87,0.00%
اتریش,فصل 35,0.00%
اسلوونی,فصل 24,0.00%
فدراسیون روسیه,فصل 29,0.00%
تایوان,فصل 40,0.00%
امارات متحده عربی,فصل 14,0.00%
انگلستان (بریتانیا),فصل 28,0.00%
ویتنام,فصل 84,0.00%
بلژیک,فصل 33,0.00%
اسلوونی,فصل 35,0.00%
کره (جنوبی),فصل 54,0.00%
مناطق آزاد,فصل 84,0.00%
گرجستان,فصل 90,0.00%
کره (جنوبی),فصل 87,0.00%
ایتالیا,فصل 68,0.00%
گرجستان,فصل 55,0.00%
رومانی,فصل 96,0.00%
تایوان,فصل 37,0.00%
ترکیه,فصل 37,0.00%
مناطق آزاد,فصل 39,0.00%
یونان,فصل 12,0.00%
اسلواکی,فصل 87,0.00%
امارات متحده عربی,فصل 65,0.00%
مکزیک,فصل 39,0.00%
هلند,فصل 87,0.00%
ارمنستان,فصل 90,0.00%
دانمارک,فصل 32,0.00%
ویتنام,فصل 19,0.00%
غنا,فصل 03,0.00%
سوئد,فصل 21,0.00%
سویس,فصل 38,0.00%
دانمارک,فصل 38,0.00%
کره (جنوبی),فصل 28,0.00%
فدراسیون روسیه,فصل 86,0.00%
هنگ کنگ,فصل 30,0.00%
ایتالیا,فصل 35,0.00%
ایتالیا,فصل 56,0.00%
آفریقای جنوبی,فصل 31,0.00%
کره (جنوبی),فصل 27,0.00%
سوریه,فصل 85,0.00%
مالزی,فصل 72,0.00%
سیشل,فصل 29,0.00%
فدراسیون روسیه,فصل 72,0.00%
بلژیک,فصل 28,0.00%
قطر,فصل 84,0.00%
آلمان,فصل 98,0.00%
مالزی,فصل 21,0.00%
یونان,فصل 87,0.00%
چین,فصل 18,0.00%
چین,فصل 53,0.00%
هند,فصل 06,0.00%
ترکیه,فصل 64,0.00%
هنگ کنگ,فصل 83,0.00%
عراق,فصل 27,0.00%
کره (جنوبی),فصل 70,0.00%
ایتالیا,فصل 09,0.00%
آلمان,فصل 82,0.00%
اسلوونی,فصل 38,0.00%
ایتالیا,فصل 40,0.00%
لبنان,فصل 32,0.00%
اتریش,فصل 59,0.00%
هند,فصل 82,0.00%
لهستان,فصل 84,0.00%
امارات متحده عربی,فصل 89,0.00%
افغانستان,فصل 71,0.00%
چین,فصل 79,0.00%
ترکیه,فصل 24,0.00%
ترکیه,فصل 92,0.00%
کره (جنوبی),فصل 23,0.00%
فدراسیون روسیه,فصل 32,0.00%
ترکیه,فصل 41,0.00%
هلند,فصل 07,0.00%
اسپانیا,فصل 03,0.00%
ایالات متحده,فصل 05,0.00%
گرجستان,فصل 39,0.00%
کانادا,فصل 27,0.00%
بلژیک,فصل 21,0.00%
آفریقای جنوبی,فصل 29,0.00%
قبرس,فصل 30,0.00%
آلمان,فصل 71,0.00%
بلژیک,فصل 15,0.00%
تایلند,فصل 90,0.00%
بلغارستان,فصل 84,0.00%
اندونزی,فصل 39,0.00%
فدراسیون روسیه,فصل 70,0.00%
انگلستان (بریتانیا),فصل 48,0.00%
مناطق ویژه,فصل 56,0.00%
مجارستان,فصل 30,0.00%
فرانسه,فصل 35,0.00%
سوئد,فصل 87,0.00%
آلمان,فصل 27,0.00%
لوکزامبورگ,فصل 21,0.00%
آلمان,فصل 44,0.00%
لهستان,فصل 90,0.00%
استرالیا,فصل 07,0.00%
مجارستان,فصل 84,0.00%
تایوان,فصل 98,0.00%
ژاپن,فصل 84,0.00%
نروژ,فصل 48,0.00%
دانمارک,فصل 33,0.00%
فرانسه,فصل 87,0.00%
فرانسه,فصل 28,0.00%
هند,فصل 31,0.00%
اسلوونی,فصل 84,0.00%
مالزی,فصل 73,0.00%
بلغارستان,فصل 39,0.00%
فدراسیون روسیه,فصل 95,0.00%
بلژیک,فصل 48,0.00%
تایلند,فصل 96,0.00%
آلمان,فصل 83,0.00%
آلمان,فصل 54,0.00%
مالزی,فصل 75,0.00%
مجارستان,فصل 85,0.00%
ترکیه,فصل 01,0.00%
افغانستان,فصل 09,0.00%
لوکزامبورگ,فصل 39,0.00%
جمهوری چک,فصل 32,0.00%
عراق,فصل 07,0.00%
مجارستان,فصل 35,0.00%
چین,فصل 64,0.00%
هلند,فصل 27,0.00%
انگلستان (بریتانیا),فصل 45,0.00%
ارمنستان,فصل 25,0.00%
گرجستان,فصل 38,0.00%
ویتنام,فصل 08,0.00%
بلغارستان,فصل 70,0.00%
فدراسیون روسیه,فصل 38,0.00%
ترکیه,فصل 17,0.00%
کره (جنوبی),فصل 12,0.00%
هلند,فصل 85,0.00%
امارات متحده عربی,فصل 79,0.00%
ایتالیا,فصل 76,0.00%
لوکزامبورگ,فصل 40,0.00%
قطر,فصل 76,0.00%
اتریش,فصل 32,0.00%
بلژیک,فصل 37,0.00%
فرانسه,فصل 34,0.00%
ایتالیا,فصل 59,0.00%
تایوان,فصل 35,0.00%
عراق,فصل 56,0.00%
ویتنام,فصل 21,0.00%
ازبکستان,فصل 73,0.00%
