Wrong country,فصل,%GT Total Import
چین,فصل 85,5.50%
امارات متحده عربی,فصل 85,4.93%
چین,فصل 84,4.83%
امارات متحده عربی,فصل 12,4.12%
امارات متحده عربی,فصل 84,3.88%
چین,فصل 98,3.53%
امارات متحده عربی,فصل 10,2.77%
هند,فصل 10,2.28%
ترکیه,فصل 10,2.11%
ترکیه,فصل 15,1.85%
امارات متحده عربی,فصل 15,1.84%
چین,فصل 87,1.64%
پاکستان,فصل 10,1.64%
ترکیه,فصل 84,1.58%
امارات متحده عربی,فصل 87,1.51%
آلمان,فصل 84,1.37%
فدراسیون روسیه,فصل 10,1.31%
امارات متحده عربی,فصل 72,1.30%
عمان,فصل 10,1.16%
ترکیه,فصل 87,1.14%
چین,فصل 39,1.05%
هلند,فصل 10,1.05%
امارات متحده عربی,فصل 90,1.04%
چین,فصل 29,1.00%
امارات متحده عربی,فصل 29,1.00%
چین,فصل 72,0.98%
ترکیه,فصل 71,0.95%
امارات متحده عربی,فصل 39,0.90%
امارات متحده عربی,فصل 17,0.88%
سنگاپور,فصل 12,0.87%
عراق,فصل 71,0.81%
امارات متحده عربی,فصل 98,0.78%
چین,فصل 38,0.77%
چین,فصل 40,0.74%
هلند,فصل 12,0.70%
آلمان,فصل 85,0.69%
امارات متحده عربی,فصل 38,0.66%
ترکیه,فصل 85,0.65%
چین,فصل 48,0.60%
چین,فصل 73,0.59%
امارات متحده عربی,فصل 40,0.58%
چین,فصل 90,0.58%
ترکیه,فصل 12,0.57%
امارات متحده عربی,فصل 71,0.54%
ترکیه,فصل 39,0.51%
عمان,فصل 15,0.48%
سنگاپور,فصل 10,0.48%
امارات متحده عربی,فصل 07,0.47%
چین,فصل 27,0.46%
امارات متحده عربی,فصل 54,0.46%
کره (جنوبی),فصل 84,0.44%
لبنان,فصل 87,0.40%
امارات متحده عربی,فصل 48,0.40%
ترکیه,فصل 98,0.40%
چین,فصل 94,0.38%
امارات متحده عربی,فصل 30,0.37%
عمان,فصل 12,0.36%
مالزی,فصل 15,0.36%
امارات متحده عربی,فصل 47,0.36%
امارات متحده عربی,فصل 24,0.35%
ایتالیا,فصل 84,0.34%
فدراسیون روسیه,فصل 15,0.32%
آلمان,فصل 87,0.32%
ایالات متحده,فصل 30,0.32%
آلمان,فصل 90,0.32%
امارات متحده عربی,فصل 09,0.30%
امارات متحده عربی,فصل 27,0.28%
امارات متحده عربی,فصل 21,0.27%
ترکیه,فصل 38,0.26%
ترکیه,فصل 55,0.26%
ترکیه,فصل 23,0.24%
هنگ کنگ,فصل 85,0.24%
چین,فصل 32,0.24%
چین,فصل 54,0.24%
امارات متحده عربی,فصل 23,0.23%
اتریش,فصل 84,0.23%
هلند,فصل 90,0.22%
امارات متحده عربی,فصل 44,0.22%
امارات متحده عربی,فصل 73,0.22%
امارات متحده عربی,فصل 18,0.22%
چین,فصل 28,0.21%
هند,فصل 33,0.21%
عمان,فصل 84,0.20%
ترکیه,فصل 90,0.19%
امارات متحده عربی,فصل 02,0.19%
اتریش,فصل 30,0.19%
ترکیه,فصل 47,0.19%
امارات متحده عربی,فصل 76,0.19%
چین,فصل 76,0.18%
امارات متحده عربی,فصل 34,0.17%
آلمان,فصل 38,0.17%
امارات متحده عربی,فصل 55,0.17%
چین,فصل 70,0.17%
فرانسه,فصل 90,0.16%
امارات متحده عربی,فصل 32,0.16%
چین,فصل 12,0.16%
ترکیه,فصل 29,0.16%
امارات متحده عربی,فصل 31,0.16%
فرانسه,فصل 30,0.16%
ژاپن,فصل 55,0.15%
امارات متحده عربی,فصل 28,0.15%
ترکیه,فصل 18,0.15%
مالزی,فصل 40,0.14%
ازبکستان,فصل 52,0.14%
ترکیه,فصل 73,0.14%
کره (جنوبی),فصل 85,0.14%
امارات متحده عربی,فصل 56,0.13%
هند,فصل 09,0.13%
چین,فصل 55,0.13%
ترکیه,فصل 72,0.13%
ترکیه,فصل 28,0.12%
آلمان,فصل 30,0.12%
هنگ کنگ,فصل 98,0.12%
آلمان,فصل 72,0.12%
ترکیه,فصل 44,0.12%
قطر,فصل 47,0.11%
سویس,فصل 90,0.11%
تاجیکستان,فصل 52,0.11%
پاکستان,فصل 08,0.11%
ترکیه,فصل 02,0.11%
