Wrong country,فصل,%GT Total Export
چین,فصل 27,12.26%
امارات متحده عربی,فصل 27,8.24%
چین,فصل 26,7.61%
چین,فصل 39,6.29%
چین,فصل 29,5.07%
پاکستان,فصل 27,2.38%
عراق,فصل 72,2.38%
غنا,فصل 72,2.11%
ترکیه,فصل 76,1.62%
عمان,فصل 27,1.62%
عراق,فصل 39,1.62%
اندونزی,فصل 72,1.35%
عمان,فصل 72,1.34%
امارات متحده عربی,فصل 29,1.32%
افغانستان,فصل 27,1.28%
عراق,فصل 07,1.16%
عمان,فصل 31,1.14%
چین,فصل 72,1.14%
عراق,فصل 84,1.02%
عراق,فصل 04,0.91%
فدراسیون روسیه,فصل 07,0.91%
ترکیه,فصل 72,0.81%
هند,فصل 27,0.81%
عراق,فصل 08,0.77%
ترکیه,فصل 39,0.73%
کنیا,فصل 86,0.70%
امارات متحده عربی,فصل 72,0.65%
امارات متحده عربی,فصل 74,0.64%
ترکیه,فصل 79,0.62%
فدراسیون روسیه,فصل 08,0.60%
عراق,فصل 73,0.57%
افغانستان,فصل 72,0.57%
امارات متحده عربی,فصل 08,0.53%
پاکستان,فصل 04,0.52%
عراق,فصل 69,0.51%
چین,فصل 25,0.51%
افغانستان,فصل 07,0.49%
امارات متحده عربی,فصل 07,0.49%
عمان,فصل 26,0.47%
ترکیه,فصل 08,0.46%
هند,فصل 29,0.43%
افغانستان,فصل 39,0.43%
چین,فصل 28,0.42%
فدراسیون روسیه,فصل 39,0.42%
هند,فصل 28,0.40%
ازبکستان,فصل 39,0.39%
ترکیه,فصل 31,0.38%
فدراسیون روسیه,فصل 04,0.38%
پاکستان,فصل 39,0.35%
ترکیه,فصل 74,0.35%
عراق,فصل 20,0.33%
عراق,فصل 23,0.32%
ترکیه,فصل 86,0.29%
کویت,فصل 72,0.29%
چین,فصل 03,0.27%
عراق,فصل 70,0.26%
ارمنستان,فصل 72,0.26%
افغانستان,فصل 29,0.26%
عراق,فصل 19,0.25%
بلغارستان,فصل 39,0.24%
جمهوری آذربایجان,فصل 04,0.24%
امارات متحده عربی,فصل 26,0.23%
افغانستان,فصل 04,0.23%
عراق,فصل 30,0.23%
عراق,فصل 21,0.22%
هند,فصل 08,0.22%
عراق,فصل 25,0.22%
ترکیه,فصل 20,0.21%
عراق,فصل 03,0.19%
جمهوری آذربایجان,فصل 72,0.19%
عراق,فصل 68,0.19%
عراق,فصل 48,0.18%
ترکمنستان,فصل 73,0.18%
عراق,فصل 44,0.18%
کره (جنوبی),فصل 26,0.18%
بنگلادش,فصل 27,0.17%
امارات متحده عربی,فصل 39,0.17%
کویت,فصل 25,0.17%
چین,فصل 74,0.16%
جمهوری آذربایجان,فصل 39,0.16%
ازبکستان,فصل 72,0.16%
امارات متحده عربی,فصل 03,0.16%
پاکستان,فصل 38,0.16%
عراق,فصل 76,0.16%
عراق,فصل 29,0.15%
ترکیه,فصل 28,0.15%
مالزی,فصل 26,0.15%
عراق,فصل 85,0.15%
تاجیکستان,فصل 72,0.15%
افغانستان,فصل 57,0.14%
پاکستان,فصل 08,0.14%
پاکستان,فصل 72,0.14%
امارات متحده عربی,فصل 09,0.14%
امارات متحده عربی,فصل 04,0.14%
امارات متحده عربی,فصل 28,0.13%
امارات متحده عربی,فصل 38,0.13%
گرجستان,فصل 72,0.13%
هند,فصل 31,0.13%
عراق,فصل 38,0.13%
افغانستان,فصل 08,0.13%
فدراسیون روسیه,فصل 25,0.12%
عراق,فصل 87,0.12%
قطر,فصل 04,0.12%
ترکیه,فصل 27,0.12%
افغانستان,فصل 84,0.12%
فدراسیون روسیه,فصل 38,0.12%
تاجیکستان,فصل 07,0.12%
عراق,فصل 94,0.12%
عراق,فصل 27,0.12%
ارمنستان,فصل 07,0.11%
افغانستان,فصل 25,0.11%
فدراسیون روسیه,فصل 55,0.11%
هند,فصل 26,0.11%
عراق,فصل 34,0.11%
ترکیه,فصل 70,0.10%
عراق,فصل 57,0.10%
تاجیکستان,فصل 39,0.10%
ترکمنستان,فصل 39,0.10%
ترکمنستان,فصل 72,0.10%
ازبکستان,فصل 04,0.10%
مالزی,فصل 27,0.10%
افغانستان,فصل 31,0.09%
ترکمنستان,فصل 07,0.09%
عراق,فصل 63,0.09%
افغانستان,فصل 76,0.09%
ارمنستان,فصل 28,0.08%
فدراسیون روسیه,فصل 28,0.08%
گرجستان,فصل 04,0.08%
ارمنستان,فصل 39,0.08%
امارات متحده عربی,فصل 78,0.08%
اسپانیا,فصل 39,0.08%
ارمنستان,فصل 25,0.08%
افغانستان,فصل 73,0.07%
سری لانکا,فصل 25,0.07%
قزاقستان,فصل 39,0.07%
عراق,فصل 06,0.07%
تایوان,فصل 39,0.07%
ویتنام,فصل 27,0.07%
ازبکستان,فصل 23,0.07%
کنیا,فصل 27,0.07%
رومانی,فصل 39,0.07%
سوریه,فصل 04,0.07%
افغانستان,فصل 20,0.07%
عراق,فصل 64,0.07%
افغانستان,فصل 70,0.07%
افغانستان,فصل 48,0.06%
امارات متحده عربی,فصل 25,0.06%
عراق,فصل 28,0.06%
چین,فصل 76,0.06%
عراق,فصل 26,0.06%
عمان,فصل 25,0.06%
قزاقستان,فصل 08,0.06%
تایوان,فصل 09,0.06%
عراق,فصل 17,0.06%
افغانستان,فصل 21,0.06%
فدراسیون روسیه,فصل 03,0.06%
تانزانیا,فصل 27,0.06%
افغانستان,فصل 69,0.06%
اسپانیا,فصل 09,0.06%
امارات متحده عربی,فصل 57,0.06%
جمهوری آذربایجان,فصل 08,0.05%
سنگاپور,فصل 04,0.05%
ارمنستان,فصل 08,0.05%
ارمنستان,فصل 27,0.05%
آلمان,فصل 08,0.05%
پاکستان,فصل 28,0.05%
قزاقستان,فصل 04,0.05%
ترکیه,فصل 84,0.05%
ترکیه,فصل 21,0.05%
جمهوری آذربایجان,فصل 07,0.05%
بلژیک,فصل 39,0.05%
پاکستان,فصل 40,0.05%
تاجیکستان,فصل 84,0.05%
گرجستان,فصل 69,0.05%
سومالی,فصل 19,0.05%
ارمنستان,فصل 04,0.04%
عراق,فصل 55,0.04%
افغانستان,فصل 15,0.04%
گرجستان,فصل 39,0.04%
افغانستان,فصل 85,0.04%
پاکستان,فصل 20,0.04%
پاکستان,فصل 25,0.04%
آفریقای جنوبی,فصل 72,0.04%
ارمنستان,فصل 73,0.04%
ترکیه,فصل 38,0.04%
پاکستان,فصل 29,0.04%
جمهوری آذربایجان,فصل 03,0.04%
امارات متحده عربی,فصل 68,0.04%
عراق,فصل 16,0.04%
عراق,فصل 56,0.04%
ازبکستان,فصل 84,0.04%
ترکیه,فصل 69,0.04%
ترکیه,فصل 29,0.04%
جیبوتی,فصل 27,0.04%
افغانستان,فصل 64,0.04%
ترکیه,فصل 04,0.04%
گرجستان,فصل 08,0.04%
قزاقستان,فصل 07,0.04%
افغانستان,فصل 19,0.04%
فدراسیون روسیه,فصل 20,0.04%
افغانستان,فصل 17,0.04%
چین,فصل 08,0.04%
ترکمنستان,فصل 57,0.04%
فدراسیون روسیه,فصل 69,0.04%
جمهوری آذربایجان,فصل 69,0.04%
افغانستان,فصل 34,0.03%
سومالی,فصل 72,0.03%
تاجیکستان,فصل 04,0.03%
عراق,فصل 95,0.03%
سوریه,فصل 08,0.03%
ترکیه,فصل 71,0.03%
چین,فصل 40,0.03%
جمهوری آذربایجان,فصل 70,0.03%
لبنان,فصل 08,0.03%
هلند,فصل 72,0.03%
عراق,فصل 31,0.03%
پاکستان,فصل 79,0.03%
ازبکستان,فصل 08,0.03%
فدراسیون روسیه,فصل 84,0.03%
