Wrong country,فصل,%GT Total Export
ترکیه,فصل 27,9.26%
عراق,فصل 27,8.45%
چین,فصل 27,8.28%
امارات متحده عربی,فصل 27,5.31%
چین,فصل 29,4.63%
چین,فصل 39,3.88%
چین,فصل 26,2.97%
عراق,فصل 72,2.35%
پاکستان,فصل 27,2.07%
عراق,فصل 39,1.86%
عمان,فصل 72,1.64%
امارات متحده عربی,فصل 72,1.30%
ترکیه,فصل 76,1.15%
ترکیه,فصل 74,1.12%
افغانستان,فصل 72,1.04%
اندونزی,فصل 72,0.99%
امارات متحده عربی,فصل 74,0.98%
هند,فصل 29,0.97%
غنا,فصل 72,0.92%
کنیا,فصل 86,0.91%
عراق,فصل 04,0.91%
برزیل,فصل 31,0.89%
فدراسیون روسیه,فصل 08,0.86%
عراق,فصل 69,0.74%
عراق,فصل 73,0.73%
افغانستان,فصل 27,0.73%
آفریقای جنوبی,فصل 31,0.72%
امارات متحده عربی,فصل 08,0.66%
عراق,فصل 85,0.65%
عمان,فصل 27,0.60%
امارات متحده عربی,فصل 07,0.60%
ترکیه,فصل 39,0.56%
چین,فصل 25,0.55%
ترکیه,فصل 79,0.46%
عراق,فصل 84,0.46%
ترکیه,فصل 72,0.46%
مناطق ویژه,فصل 27,0.46%
امارات متحده عربی,فصل 29,0.45%
عراق,فصل 23,0.44%
چین,فصل 76,0.43%
هند,فصل 28,0.43%
ترکیه,فصل 31,0.42%
لهستان,فصل 72,0.41%
تاجیکستان,فصل 72,0.41%
افغانستان,فصل 39,0.40%
عراق,فصل 19,0.39%
ارمنستان,فصل 72,0.38%
عراق,فصل 20,0.38%
پاکستان,فصل 72,0.37%
ترکیه,فصل 08,0.35%
جمهوری آذربایجان,فصل 04,0.33%
عراق,فصل 08,0.31%
عراق,فصل 70,0.31%
ترکمنستان,فصل 72,0.30%
هند,فصل 27,0.30%
ازبکستان,فصل 72,0.30%
پاکستان,فصل 04,0.30%
پاکستان,فصل 39,0.29%
کره (جنوبی),فصل 26,0.29%
عراق,فصل 76,0.28%
عمان,فصل 26,0.28%
ترکمنستان,فصل 73,0.27%
هند,فصل 72,0.26%
عراق,فصل 68,0.24%
ازبکستان,فصل 39,0.23%
فدراسیون روسیه,فصل 07,0.23%
هند,فصل 08,0.23%
عراق,فصل 25,0.22%
فدراسیون روسیه,فصل 04,0.19%
کویت,فصل 72,0.19%
افغانستان,فصل 57,0.19%
امارات متحده عربی,فصل 28,0.19%
