Wrong country,فصل,%GT Total Export
امارات متحده عربی,فصل 25,0.04%
فدراسیون روسیه,فصل 87,0.04%
تاجیکستان,فصل 07,0.04%
عراق,فصل 61,0.04%
ارمنستان,فصل 28,0.04%
ترکیه,فصل 69,0.04%
ترکمنستان,فصل 27,0.04%
هند,فصل 39,0.04%
ارمنستان,فصل 04,0.04%
کنیا,فصل 27,0.04%
چین,فصل 08,0.04%
عراق,فصل 18,0.04%
عراق,فصل 56,0.04%
افغانستان,فصل 48,0.04%
گرجستان,فصل 04,0.04%
امارات متحده عربی,فصل 68,0.04%
ازبکستان,فصل 34,0.04%
افغانستان,فصل 19,0.04%
مالزی,فصل 26,0.04%
فدراسیون روسیه,فصل 29,0.04%
قزاقستان,فصل 04,0.04%
عراق,فصل 55,0.04%
چین,فصل 57,0.04%
گرجستان,فصل 39,0.04%
ترکیه,فصل 38,0.04%
امارات متحده عربی,فصل 70,0.04%
سومالی,فصل 19,0.04%
گرجستان,فصل 08,0.04%
افغانستان,فصل 17,0.03%
ترکمنستان,فصل 69,0.03%
امارات متحده عربی,فصل 84,0.03%
ترکیه,فصل 40,0.03%
عراق,فصل 62,0.03%
ارمنستان,فصل 08,0.03%
تاجیکستان,فصل 08,0.03%
تاجیکستان,فصل 84,0.03%
جمهوری آذربایجان,فصل 73,0.03%
ارمنستان,فصل 57,0.03%
عمان,فصل 07,0.03%
مناطق ویژه,فصل 27,0.03%
فدراسیون روسیه,فصل 20,0.03%
ارمنستان,فصل 07,0.03%
افغانستان,فصل 61,0.03%
قطر,فصل 07,0.03%
ایتالیا,فصل 30,0.03%
چین,فصل 40,0.03%
عراق,فصل 74,0.03%
ترکمنستان,فصل 44,0.03%
پاکستان,فصل 25,0.03%
تانزانیا,فصل 27,0.03%
پاکستان,فصل 79,0.03%
ارمنستان,فصل 25,0.03%
پاکستان,فصل 29,0.03%
ترکیه,فصل 09,0.03%
عراق,فصل 32,0.03%
ترکیه,فصل 04,0.03%
پاکستان,فصل 09,0.03%
هند,فصل 09,0.03%
تاجیکستان,فصل 32,0.03%
جمهوری آذربایجان,فصل 34,0.03%
چین,فصل 28,0.03%
ترکمنستان,فصل 32,0.03%
ترکمنستان,فصل 07,0.03%
تایوان,فصل 39,0.03%
سری لانکا,فصل 29,0.03%
امارات متحده عربی,فصل 57,0.03%
پاکستان,فصل 57,0.03%
ترکمنستان,فصل 68,0.03%
امارات متحده عربی,فصل 39,0.03%
امارات متحده عربی,فصل 69,0.02%
عراق,فصل 16,0.02%
بلژیک,فصل 39,0.02%
ازبکستان,فصل 29,0.02%
جمهوری آذربایجان,فصل 69,0.02%
پاکستان,فصل 19,0.02%
قطر,فصل 08,0.02%
ازبکستان,فصل 27,0.02%
جمهوری آذربایجان,فصل 70,0.02%
تونس,فصل 72,0.02%
سومالی,فصل 25,0.02%
عراق,فصل 83,0.02%
ترکمنستان,فصل 04,0.02%
قطر,فصل 25,0.02%
عراق,فصل 42,0.02%
استرالیا,فصل 57,0.02%
بنگلادش,فصل 25,0.02%
افغانستان,فصل 15,0.02%
سری لانکا,فصل 25,0.02%
افغانستان,فصل 63,0.02%
تاجیکستان,فصل 04,0.02%
افغانستان,فصل 32,0.02%
سری لانکا,فصل 31,0.02%
گرجستان,فصل 73,0.02%
افغانستان,فصل 55,0.02%
ترکمنستان,فصل 17,0.02%
ترکمنستان,فصل 34,0.02%
جمهوری آذربایجان,فصل 03,0.02%
ترکمنستان,فصل 57,0.02%
جمهوری آذربایجان,فصل 54,0.02%
ترکیه,فصل 34,0.02%
امارات متحده عربی,فصل 20,0.02%
جمهوری آذربایجان,فصل 61,0.02%
اندونزی,فصل 27,0.02%
جمهوری آذربایجان,فصل 86,0.02%
جمهوری آذربایجان,فصل 08,0.02%
میانمار,فصل 27,0.02%
تاجیکستان,فصل 69,0.02%
افغانستان,فصل 54,0.02%
ایتالیا,فصل 73,0.02%
گرجستان,فصل 69,0.02%
هلند,فصل 08,0.02%
افغانستان,فصل 31,0.02%
افغانستان,فصل 44,0.02%
اسپانیا,فصل 70,0.02%
افغانستان,فصل 87,0.02%
تاجیکستان,فصل 73,0.02%
جمهوری آذربایجان,فصل 28,0.02%
سوریه,فصل 69,0.02%
فدراسیون روسیه,فصل 69,0.02%
اسپانیا,فصل 08,0.02%
اردن,فصل 08,0.02%
ترکیه,فصل 71,0.02%
عراق,فصل 01,0.02%
افغانستان,فصل 40,0.02%
پاکستان,فصل 70,0.02%
افغانستان,فصل 38,0.02%
عراق,فصل 35,0.02%
ترکیه,فصل 21,0.02%
کانادا,فصل 08,0.02%
عمان,فصل 57,0.02%
گرجستان,فصل 70,0.02%
ارمنستان,فصل 69,0.02%
پاکستان,فصل 41,0.02%
عراق,فصل 40,0.02%
مراکش,فصل 08,0.02%
قزاقستان,فصل 32,0.02%
عراق,فصل 49,0.02%
ترکمنستان,فصل 26,0.02%
قزاقستان,فصل 57,0.02%
ارمنستان,فصل 74,0.02%
بلاروس,فصل 39,0.02%
قزاقستان,فصل 20,0.02%
جمهوری آذربایجان,فصل 76,0.02%
جمهوری آذربایجان,فصل 84,0.02%
افغانستان,فصل 33,0.02%
قرقیزستان,فصل 39,0.01%
سوریه,فصل 15,0.01%
قزاقستان,فصل 25,0.01%
هند,فصل 57,0.01%
جیبوتی,فصل 27,0.01%
پاکستان,فصل 56,0.01%
ارمنستان,فصل 23,0.01%
تایوان,فصل 27,0.01%
ازبکستان,فصل 70,0.01%
ازبکستان,فصل 17,0.01%
قرقیزستان,فصل 32,0.01%
جمهوری آذربایجان,فصل 63,0.01%
افغانستان,فصل 30,0.01%
ترکمنستان,فصل 28,0.01%
تاجیکستان,فصل 34,0.01%
ترکمنستان,فصل 19,0.01%
امارات متحده عربی,فصل 22,0.01%
افغانستان,فصل 56,0.01%
پاکستان,فصل 73,0.01%
امارات متحده عربی,فصل 13,0.01%
کویت,فصل 08,0.01%
جمهوری آذربایجان,فصل 68,0.01%
عراق,فصل 54,0.01%
جمهوری آذربایجان,فصل 19,0.01%
سومالی,فصل 27,0.01%
ترکیه,فصل 23,0.01%
ویتنام,فصل 02,0.01%
پاکستان,فصل 74,0.01%
ازبکستان,فصل 20,0.01%
ترکمنستان,فصل 76,0.01%
هلند,فصل 72,0.01%
صربستان و مونته نگرو,فصل 08,0.01%
عراق,فصل 33,0.01%
فدراسیون روسیه,فصل 85,0.01%
افغانستان,فصل 74,0.01%
اوکراین,فصل 08,0.01%
تاجیکستان,فصل 57,0.01%
کویت,فصل 14,0.01%
پاکستان,فصل 34,0.01%
ازبکستان,فصل 57,0.01%
قطر,فصل 68,0.01%
افغانستان,فصل 28,0.01%
ترکیه,فصل 13,0.01%
ازبکستان,فصل 69,0.01%
افغانستان,فصل 68,0.01%
قزاقستان,فصل 07,0.01%
ترکیه,فصل 57,0.01%
کویت,فصل 68,0.01%
عمان,فصل 70,0.01%
ازبکستان,فصل 73,0.01%
ترکیه,فصل 05,0.01%
عراق,فصل 15,0.01%
چین,فصل 09,0.01%
فیلیپین,فصل 27,0.01%
افغانستان,فصل 96,0.01%
ترکمنستان,فصل 84,0.01%
مناطق آزاد,فصل 03,0.01%
ترکیه,فصل 63,0.01%
قطر,فصل 09,0.01%
سری لانکا,فصل 27,0.01%
فدراسیون روسیه,فصل 73,0.01%
اسپانیا,فصل 73,0.01%
ترکمنستان,فصل 70,0.01%
ازبکستان,فصل 35,0.01%
قطر,فصل 70,0.01%
ارمنستان,فصل 70,0.01%
بلغارستان,فصل 72,0.01%
مالزی,فصل 72,0.01%
جمهوری آذربایجان,فصل 64,0.01%
لیبی,فصل 20,0.01%
اسپانیا,فصل 39,0.01%
فدراسیون روسیه,فصل 86,0.01%
بلاروس,فصل 08,0.01%
یمن,فصل 19,0.01%
گرجستان,فصل 27,0.01%
ارمنستان,فصل 84,0.01%
جمهوری آذربایجان,فصل 20,0.01%
امارات متحده عربی,فصل 19,0.01%
پاکستان,فصل 21,0.01%
عراق,فصل 58,0.01%
آلمان,فصل 13,0.01%
لهستان,فصل 08,0.01%
کویت,فصل 07,0.01%
سنگاپور,فصل 04,0.01%
امارات متحده عربی,فصل 62,0.01%
فدراسیون روسیه,فصل 70,0.01%
عراق,فصل 96,0.01%
پاکستان,فصل 69,0.01%
انگلستان (بریتانیا),فصل 08,0.01%
قزاقستان,فصل 68,0.01%
عمان,فصل 39,0.01%
فدراسیون روسیه,فصل 94,0.01%
امارات متحده عربی,فصل 94,0.01%
جمهوری آذربایجان,فصل 38,0.01%
امارات متحده عربی,فصل 16,0.01%
ژاپن,فصل 57,0.01%
گرجستان,فصل 68,0.01%
تاجیکستان,فصل 19,0.01%
تاجیکستان,فصل 27,0.01%
ویتنام,فصل 08,0.01%
گرجستان,فصل 07,0.01%
جمهوری آذربایجان,فصل 17,0.01%
ازبکستان,فصل 25,0.01%
لبنان,فصل 70,0.01%
عراق,فصل 22,0.01%
آفریقای جنوبی,فصل 39,0.01%
امارات متحده عربی,فصل 21,0.01%
کویت,فصل 70,0.01%
سوریه,فصل 74,0.01%
پاکستان,فصل 33,0.01%
افغانستان,فصل 83,0.01%
فدراسیون روسیه,فصل 72,0.01%
گرجستان,فصل 84,0.01%
تاجیکستان,فصل 30,0.01%
لیبی,فصل 08,0.01%
افغانستان,فصل 35,0.01%
فدراسیون روسیه,فصل 38,0.01%
ترکیه,فصل 68,0.01%
آلمان,فصل 57,0.01%
جمهوری آذربایجان,فصل 25,0.01%
ارمنستان,فصل 68,0.01%
ترکیه,فصل 32,0.01%
قطر,فصل 27,0.01%
سری لانکا,فصل 03,0.01%
ارمنستان,فصل 03,0.01%
عراق,فصل 09,0.01%
ارمنستان,فصل 76,0.01%
ایتالیا,فصل 84,0.01%
سوریه,فصل 72,0.01%
لیبی,فصل 57,0.01%
کنیا,فصل 84,0.01%
عمان,فصل 09,0.01%
عراق,فصل 13,0.01%
سوریه,فصل 07,0.01%
عمان,فصل 20,0.01%
هند,فصل 51,0.01%
فدراسیون روسیه,فصل 68,0.01%
ایتالیا,فصل 08,0.01%
ترکیه,فصل 25,0.01%
کویت,فصل 57,0.01%
اندونزی,فصل 08,0.01%
سومالی,فصل 20,0.01%
قرقیزستان,فصل 84,0.01%
فدراسیون روسیه,فصل 34,0.01%
ارمنستان,فصل 20,0.01%
هند,فصل 74,0.01%
پاکستان,فصل 17,0.01%
کویت,فصل 31,0.01%
ویتنام,فصل 05,0.01%
سنگال,فصل 27,0.01%
قزاقستان,فصل 34,0.01%
ازبکستان,فصل 28,0.01%
عراق,فصل 10,0.01%
آرژانتین,فصل 08,0.01%
جمهوری آذربایجان,فصل 94,0.01%
قطر,فصل 57,0.01%
سوریه,فصل 39,0.01%
فدراسیون روسیه,فصل 30,0.01%
ازبکستان,فصل 38,0.01%
تاجیکستان,فصل 38,0.01%
هند,فصل 13,0.01%
اسپانیا,فصل 84,0.01%
بلاروس,فصل 07,0.01%
ویتنام,فصل 03,0.01%
قرقیزستان,فصل 57,0.01%
ارمنستان,فصل 34,0.01%
تایلند,فصل 03,0.01%
ازبکستان,فصل 40,0.01%
چین,فصل 04,0.01%
امارات متحده عربی,فصل 87,0.01%
جمهوری آذربایجان,فصل 32,0.01%
گرجستان,فصل 63,0.01%
امارات متحده عربی,فصل 14,0.01%
کویت,فصل 09,0.01%
لهستان,فصل 21,0.01%
عمان,فصل 19,0.01%
مالزی,فصل 03,0.01%
ترکمنستان,فصل 38,0.01%
ترکیه,فصل 11,0.01%
موریتانی,فصل 57,0.01%
تاجیکستان,فصل 85,0.01%
ترکمنستان,فصل 25,0.01%
آلمان,فصل 20,0.01%
فدراسیون روسیه,فصل 40,0.01%
بلغارستان,فصل 08,0.01%
جمهوری آذربایجان,فصل 95,0.01%
استرالیا,فصل 08,0.01%
فدراسیون روسیه,فصل 09,0.01%
پاکستان,فصل 84,0.01%
ترکیه,فصل 03,0.01%
تاجیکستان,فصل 56,0.01%
بلاروس,فصل 29,0.01%
ارمنستان,فصل 31,0.01%
بحرین,فصل 03,0.01%
هند,فصل 70,0.01%
ترکیه,فصل 26,0.01%
ازبکستان,فصل 68,0.00%
ازبکستان,فصل 54,0.00%
