Wrong country,فصل,%GT Total Export
قرقیزستان,فصل 70,0.00%
نیوزیلند (Aotearoa),فصل 57,0.00%
گرجستان,فصل 38,0.00%
آفریقای جنوبی,فصل 85,0.00%
سری لانکا,فصل 70,0.00%
رومانی,فصل 27,0.00%
ونزوئلا,فصل 90,0.00%
غنا,فصل 73,0.00%
موزامبیک,فصل 27,0.00%
افغانستان,فصل 79,0.00%
فدراسیون روسیه,فصل 21,0.00%
اتریش,فصل 09,0.00%
امارات متحده عربی,فصل 90,0.00%
استرالیا,فصل 21,0.00%
جمهوری آذربایجان,فصل 83,0.00%
موریتانی,فصل 04,0.00%
لوکزامبورگ,فصل 69,0.00%
عراق,فصل 11,0.00%
ترکیه,فصل 07,0.00%
ارمنستان,فصل 48,0.00%
چین,فصل 78,0.00%
تاجیکستان,فصل 94,0.00%
ایتالیا,فصل 25,0.00%
پاکستان,فصل 54,0.00%
کره (جنوبی),فصل 03,0.00%
عمان,فصل 17,0.00%
ترکیه,فصل 48,0.00%
لیتوانی,فصل 08,0.00%
یمن,فصل 30,0.00%
بنگلادش,فصل 40,0.00%
کویت,فصل 84,0.00%
رومانی,فصل 63,0.00%
کویت,فصل 73,0.00%
عمان,فصل 84,0.00%
فیلیپین,فصل 08,0.00%
ازبکستان,فصل 74,0.00%
جیبوتی,فصل 84,0.00%
ازبکستان,فصل 94,0.00%
افغانستان,فصل 51,0.00%
اسپانیا,فصل 40,0.00%
صربستان و مونته نگرو,فصل 39,0.00%
پاکستان,فصل 35,0.00%
پاکستان,فصل 32,0.00%
اردن,فصل 18,0.00%
گرجستان,فصل 03,0.00%
بلغارستان,فصل 68,0.00%
نیجریه,فصل 57,0.00%
فرانسه,فصل 73,0.00%
ارمنستان,فصل 90,0.00%
ماداگاسکار,فصل 31,0.00%
افغانستان,فصل 49,0.00%
انگلستان (بریتانیا),فصل 09,0.00%
لیبی,فصل 34,0.00%
تایلند,فصل 84,0.00%
جمهوری آذربایجان,فصل 21,0.00%
اتریش,فصل 20,0.00%
قزاقستان,فصل 29,0.00%
فدراسیون روسیه,فصل 19,0.00%
ارمنستان,فصل 21,0.00%
پرتغال,فصل 08,0.00%
اوکراین,فصل 28,0.00%
ترکیه,فصل 55,0.00%
سوریه,فصل 57,0.00%
ارمنستان,فصل 85,0.00%
استرالیا,فصل 09,0.00%
استرالیا,فصل 20,0.00%
ترکیه,فصل 90,0.00%
قزاقستان,فصل 35,0.00%
کویت,فصل 01,0.00%
ترکیه,فصل 12,0.00%
اکوادور,فصل 08,0.00%
عمان,فصل 34,0.00%
افغانستان,فصل 11,0.00%
فدراسیون روسیه,فصل 27,0.00%
ایتالیا,فصل 87,0.00%
ترکیه,فصل 15,0.00%
امارات متحده عربی,فصل 97,0.00%
کویت,فصل 27,0.00%
بلاروس,فصل 35,0.00%
لهستان,فصل 05,0.00%
لبنان,فصل 16,0.00%
آلمان,فصل 28,0.00%
عمان,فصل 94,0.00%
مالزی,فصل 57,0.00%
کویت,فصل 20,0.00%
امارات متحده عربی,فصل 48,0.00%
پاکستان,فصل 12,0.00%
رومانی,فصل 05,0.00%
جمهوری آذربایجان,فصل 22,0.00%
تاجیکستان,فصل 15,0.00%
رومانی,فصل 33,0.00%
آفریقای جنوبی,فصل 73,0.00%
گرجستان,فصل 21,0.00%
ارمنستان,فصل 32,0.00%
فدراسیون روسیه,فصل 90,0.00%
امارات متحده عربی,فصل 95,0.00%
فدراسیون روسیه,فصل 13,0.00%
قزاقستان,فصل 24,0.00%
عمان,فصل 15,0.00%
جمهوری مولداوی,فصل 08,0.00%
ترکمنستان,فصل 54,0.00%
ازبکستان,فصل 30,0.00%
لبنان,فصل 39,0.00%
آلمان,فصل 94,0.00%
گرجستان,فصل 34,0.00%
بلغارستان,فصل 28,0.00%
ترکیه,فصل 10,0.00%
تاجیکستان,فصل 21,0.00%
ایتالیا,فصل 39,0.00%
ایتالیا,فصل 70,0.00%
ارمنستان,فصل 87,0.00%
اندونزی,فصل 57,0.00%
تاجیکستان,فصل 44,0.00%
تایوان,فصل 08,0.00%
گرجستان,فصل 28,0.00%
هلند,فصل 84,0.00%
کویت,فصل 21,0.00%
قرقیزستان,فصل 25,0.00%
تاجیکستان,فصل 35,0.00%
قزاقستان,فصل 41,0.00%
قزاقستان,فصل 40,0.00%
عراق,فصل 90,0.00%
اتریش,فصل 21,0.00%
جمهوری آذربایجان,فصل 41,0.00%
بوسنی و هرزگوین,فصل 73,0.00%
عمان,فصل 02,0.00%
هنگ کنگ,فصل 39,0.00%
آلمان,فصل 84,0.00%
عراق,فصل 59,0.00%
آفریقای جنوبی,فصل 08,0.00%
ونزوئلا,فصل 39,0.00%
اتریش,فصل 57,0.00%
پاکستان,فصل 03,0.00%
آلمان,فصل 19,0.00%
سومالی,فصل 17,0.00%
افغانستان,فصل 42,0.00%
آنگولا,فصل 19,0.00%
هلند,فصل 09,0.00%
اسلوونی,فصل 72,0.00%
آلمان,فصل 12,0.00%
آنگولا,فصل 04,0.00%
جمهوری مقدونیه(یوگسلاوی),فصل 70,0.00%
بحرین,فصل 19,0.00%
صربستان و مونته نگرو,فصل 84,0.00%
تاجیکستان,فصل 64,0.00%
عمان,فصل 18,0.00%
هلند,فصل 16,0.00%
سنگاپور,فصل 21,0.00%
تانزانیا,فصل 73,0.00%
ساحل عاج (ساحل عاج),فصل 20,0.00%
ترکمنستان,فصل 11,0.00%
امارات متحده عربی,فصل 54,0.00%
قزاقستان,فصل 73,0.00%
فرانسه,فصل 13,0.00%
تاجیکستان,فصل 28,0.00%
گرجستان,فصل 25,0.00%
اندونزی,فصل 84,0.00%
سری لانکا,فصل 28,0.00%
جمهوری آذربایجان,فصل 42,0.00%
انگلستان (بریتانیا),فصل 21,0.00%
ازبکستان,فصل 49,0.00%
آلمان,فصل 73,0.00%
هند,فصل 81,0.00%
جمهوری آذربایجان,فصل 56,0.00%
تایلند,فصل 04,0.00%
امارات متحده عربی,فصل 18,0.00%
ارمنستان,فصل 06,0.00%
افغانستان,فصل 26,0.00%
جمهوری چک,فصل 08,0.00%
تاجیکستان,فصل 09,0.00%
بحرین,فصل 20,0.00%
کویت,فصل 12,0.00%
ارمنستان,فصل 33,0.00%
فرانسه,فصل 84,0.00%
رومانی,فصل 20,0.00%
ویتنام,فصل 28,0.00%
رومانی,فصل 73,0.00%
برزیل,فصل 08,0.00%
لبنان,فصل 19,0.00%
کلمبیا,فصل 29,0.00%
آلمان,فصل 17,0.00%
قزاقستان,فصل 54,0.00%
کنیا,فصل 04,0.00%
هند,فصل 11,0.00%
کویت,فصل 22,0.00%
ترکمنستان,فصل 42,0.00%
نپال,فصل 70,0.00%
گرجستان,فصل 32,0.00%
آفریقای جنوبی,فصل 20,0.00%
عمان,فصل 33,0.00%
جمهوری آذربایجان,فصل 09,0.00%
آلمان,فصل 07,0.00%
پاکستان,فصل 30,0.00%
مجارستان,فصل 13,0.00%
جمهوری آذربایجان,فصل 40,0.00%
اوکراین,فصل 27,0.00%
جمهوری آذربایجان,فصل 10,0.00%
ازبکستان,فصل 85,0.00%
اندونزی,فصل 71,0.00%
قطر,فصل 01,0.00%
ونزوئلا,فصل 87,0.00%
آلمان,فصل 10,0.00%
قرقیزستان,فصل 04,0.00%
یونان,فصل 08,0.00%
لهستان,فصل 69,0.00%
انگلستان (بریتانیا),فصل 30,0.00%
قطر,فصل 17,0.00%
نیوزیلند (Aotearoa),فصل 08,0.00%
تایلند,فصل 40,0.00%
رومانی,فصل 07,0.00%
رومانی,فصل 74,0.00%
تاجیکستان,فصل 06,0.00%
اسلوونی,فصل 26,0.00%
اسلوونی,فصل 73,0.00%
جمهوری آذربایجان,فصل 06,0.00%
امارات متحده عربی,فصل 83,0.00%
قرقیزستان,فصل 73,0.00%
ازبکستان,فصل 19,0.00%
ترکمنستان,فصل 74,0.00%
گرجستان,فصل 56,0.00%
ترکیه,فصل 82,0.00%
گرجستان,فصل 94,0.00%
قرقیزستان,فصل 76,0.00%
کانادا,فصل 07,0.00%
عراق,فصل 60,0.00%
انگلستان (بریتانیا),فصل 70,0.00%
جمهوری آذربایجان,فصل 62,0.00%
سومالی,فصل 69,0.00%
ازبکستان,فصل 21,0.00%
عمان,فصل 55,0.00%
استونی,فصل 08,0.00%
فنلاند,فصل 08,0.00%
تانزانیا,فصل 18,0.00%
بحرین,فصل 16,0.00%
تاجیکستان,فصل 18,0.00%
جمهوری آذربایجان,فصل 57,0.00%
ونزوئلا,فصل 84,0.00%
استرالیا,فصل 73,0.00%
رومانی,فصل 94,0.00%
فدراسیون روسیه,فصل 24,0.00%
کانادا,فصل 70,0.00%
ژاپن,فصل 09,0.00%
کانادا,فصل 27,0.00%
لهستان,فصل 39,0.00%
قزاقستان,فصل 63,0.00%
آلمان,فصل 63,0.00%
بحرین,فصل 69,0.00%
بحرین,فصل 58,0.00%
جمهوری چک,فصل 71,0.00%
عراق,فصل 67,0.00%
عراق,فصل 86,0.00%
ترکمنستان,فصل 18,0.00%
مصر,فصل 25,0.00%
چین,فصل 73,0.00%
کانادا,فصل 17,0.00%
تاجیکستان,فصل 33,0.00%
پاکستان,فصل 61,0.00%
لبنان,فصل 33,0.00%
ترکیه,فصل 95,0.00%
اردن,فصل 27,0.00%
سوریه,فصل 28,0.00%
استرالیا,فصل 84,0.00%
یونان,فصل 68,0.00%
فدراسیون روسیه,فصل 96,0.00%
قزاقستان,فصل 28,0.00%
جمهوری آذربایجان,فصل 23,0.00%
گرجستان,فصل 05,0.00%
جامائیکا,فصل 08,0.00%
ترکیه,فصل 91,0.00%
بنگلادش,فصل 38,0.00%
انگلستان (بریتانیا),فصل 17,0.00%
مناطق آزاد,فصل 08,0.00%
عمان,فصل 23,0.00%
هلند,فصل 06,0.00%
گرجستان,فصل 44,0.00%
قزاقستان,فصل 56,0.00%
بحرین,فصل 17,0.00%
چین,فصل 32,0.00%
ترکمنستان,فصل 86,0.00%
لبنان,فصل 30,0.00%
اردن,فصل 04,0.00%
ترکیه,فصل 83,0.00%
ویتنام,فصل 09,0.00%
اتریش,فصل 22,0.00%
عمان,فصل 12,0.00%
بحرین,فصل 08,0.00%
ویتنام,فصل 57,0.00%
عمان,فصل 62,0.00%
تاجیکستان,فصل 29,0.00%
پرتغال,فصل 27,0.00%
فرانسه,فصل 96,0.00%
بنگلادش,فصل 29,0.00%
مالزی,فصل 69,0.00%
اوکراین,فصل 39,0.00%
قزاقستان,فصل 09,0.00%
انگلستان (بریتانیا),فصل 10,0.00%
ازبکستان,فصل 05,0.00%
ایتالیا,فصل 57,0.00%
مجارستان,فصل 84,0.00%
ارمنستان,فصل 22,0.00%
کنیا,فصل 08,0.00%
قرقیزستان,فصل 55,0.00%
غنا,فصل 39,0.00%
تاجیکستان,فصل 83,0.00%
قرقیزستان,فصل 07,0.00%
ترکیه,فصل 49,0.00%
رومانی,فصل 69,0.00%
میانمار,فصل 29,0.00%
مجارستان,فصل 73,0.00%
قطر,فصل 69,0.00%
سری لانکا,فصل 84,0.00%
کانادا,فصل 09,0.00%
کنیا,فصل 19,0.00%
هلند,فصل 22,0.00%
جمهوری آذربایجان,فصل 85,0.00%
فدراسیون روسیه,فصل 54,0.00%
بوسنی و هرزگوین,فصل 08,0.00%
سودان,فصل 21,0.00%
لبنان,فصل 22,0.00%
سومالی,فصل 04,0.00%
ارمنستان,فصل 40,0.00%
بلغارستان,فصل 69,0.00%
بلاروس,فصل 79,0.00%
اردن,فصل 28,0.00%
مالزی,فصل 25,0.00%
فدراسیون روسیه,فصل 83,0.00%
لبنان,فصل 18,0.00%
افغانستان,فصل 24,0.00%
گرجستان,فصل 35,0.00%
یونان,فصل 73,0.00%
مالزی,فصل 09,0.00%
صربستان و مونته نگرو,فصل 70,0.00%
لیبی,فصل 56,0.00%
جمهوری چک,فصل 57,0.00%
سوئد,فصل 20,0.00%
صربستان و مونته نگرو,فصل 34,0.00%
کویت,فصل 16,0.00%
امارات متحده عربی,فصل 11,0.00%
تاجیکستان,فصل 48,0.00%
امارات متحده عربی,فصل 40,0.00%
مالی,فصل 19,0.00%
امارات متحده عربی,فصل 33,0.00%
لبنان,فصل 17,0.00%
لبنان,فصل 04,0.00%
امارات متحده عربی,فصل 44,0.00%
ارمنستان,فصل 17,0.00%
گرجستان,فصل 48,0.00%
انگلستان (بریتانیا),فصل 39,0.00%
فدراسیون روسیه,فصل 06,0.00%
چین,فصل 33,0.00%
بحرین,فصل 18,0.00%
بلغارستان,فصل 05,0.00%
عراق,فصل 65,0.00%
مناطق آزاد,فصل 07,0.00%
کانادا,فصل 04,0.00%
گرجستان,فصل 87,0.00%
فدراسیون روسیه,فصل 12,0.00%
قرقیزستان,فصل 69,0.00%
بلاروس,فصل 34,0.00%
آنگولا,فصل 27,0.00%
قرقیزستان,فصل 23,0.00%
ترکمنستان,فصل 22,0.00%
چین,فصل 38,0.00%
استرالیا,فصل 10,0.00%
فدراسیون روسیه,فصل 22,0.00%
قزاقستان,فصل 94,0.00%
برزیل,فصل 70,0.00%
عمان,فصل 95,0.00%
فدراسیون روسیه,فصل 33,0.00%
بحرین,فصل 22,0.00%
کویت,فصل 17,0.00%
کرواسی (Hrvatska),فصل 39,0.00%
آفریقای جنوبی,فصل 29,0.00%
سنگاپور,فصل 09,0.00%
انگلستان (بریتانیا),فصل 74,0.00%
کرواسی (Hrvatska),فصل 08,0.00%
افغانستان,فصل 91,0.00%
هند,فصل 20,0.00%
نروژ,فصل 08,0.00%
لیبی,فصل 32,0.00%
سویس,فصل 20,0.00%
عراق,فصل 66,0.00%
سوریه,فصل 96,0.00%
عمان,فصل 28,0.00%
گینه,فصل 69,0.00%
آلمان,فصل 51,0.00%
کنیا,فصل 29,0.00%
جمهوری آذربایجان,فصل 82,0.00%
گرجستان,فصل 24,0.00%
ترکمنستان,فصل 58,0.00%
کامبوج,فصل 01,0.00%
فدراسیون روسیه,فصل 41,0.00%
قرقیزستان,فصل 35,0.00%
کنیا,فصل 83,0.00%
دانمارک,فصل 21,0.00%
قبرس,فصل 39,0.00%
لیبی,فصل 39,0.00%
بحرین,فصل 15,0.00%
گرجستان,فصل 57,0.00%
رومانی,فصل 19,0.00%
ساحل عاج (ساحل عاج),فصل 17,0.00%
آلمان,فصل 38,0.00%
جمهوری مقدونیه(یوگسلاوی),فصل 27,0.00%
انگلستان (بریتانیا),فصل 19,0.00%
عربستان سعودی,فصل 70,0.00%
بوسنی و هرزگوین,فصل 57,0.00%
نیجریه,فصل 19,0.00%
ترکیه,فصل 01,0.00%
لهستان,فصل 84,0.00%
پاکستان,فصل 82,0.00%
نیجریه,فصل 94,0.00%
چین,فصل 84,0.00%
جمهوری آذربایجان,فصل 35,0.00%
کنیا,فصل 69,0.00%
چین,فصل 21,0.00%
قطر,فصل 24,0.00%
بوسنی و هرزگوین,فصل 84,0.00%
اندونزی,فصل 28,0.00%
کانادا,فصل 57,0.00%
ازبکستان,فصل 09,0.00%
تاجیکستان,فصل 22,0.00%
بلاروس,فصل 95,0.00%
جیبوتی,فصل 19,0.00%
ارمنستان,فصل 56,0.00%
ترکمنستان,فصل 15,0.00%
افغانستان,فصل 98,0.00%
قطر,فصل 32,0.00%
هند,فصل 49,0.00%
سویس,فصل 69,0.00%
فرانسه,فصل 08,0.00%
عراق,فصل 52,0.00%
تایلند,فصل 38,0.00%
گرجستان,فصل 11,0.00%
افغانستان,فصل 82,0.00%
مالزی,فصل 39,0.00%
تایلند,فصل 57,0.00%
ترکمنستان,فصل 03,0.00%
عراق,فصل 53,0.00%
استرالیا,فصل 19,0.00%
قطر,فصل 48,0.00%
عربستان سعودی,فصل 39,0.00%
آلبانی,فصل 07,0.00%
کویت,فصل 38,0.00%
بلغارستان,فصل 07,0.00%
ترکیه,فصل 17,0.00%
اسلواکی,فصل 39,0.00%
ویتنام,فصل 94,0.00%
تاجیکستان,فصل 54,0.00%
عمان,فصل 29,0.00%
ترکمنستان,فصل 59,0.00%
ازبکستان,فصل 31,0.00%
کویت,فصل 13,0.00%
ارمنستان,فصل 12,0.00%
انگلستان (بریتانیا),فصل 22,0.00%
چین,فصل 69,0.00%
اسلوونی,فصل 27,0.00%
پرتغال,فصل 68,0.00%
بحرین,فصل 84,0.00%
تاجیکستان,فصل 10,0.00%
اردن,فصل 19,0.00%
استرالیا,فصل 16,0.00%
افغانستان,فصل 62,0.00%
نروژ,فصل 20,0.00%
کانادا,فصل 85,0.00%
کویت,فصل 69,0.00%
اردن,فصل 84,0.00%
موریتانی,فصل 38,0.00%
تاجیکستان,فصل 90,0.00%
سویس,فصل 94,0.00%
تایلند,فصل 06,0.00%
لهستان,فصل 20,0.00%
سومالی,فصل 08,0.00%
پاراگوئه,فصل 28,0.00%
امارات متحده عربی,فصل 85,0.00%
ترکمنستان,فصل 52,0.00%
تانزانیا,فصل 19,0.00%
گرجستان,فصل 33,0.00%
قرقیزستان,فصل 49,0.00%
قرقیزستان,فصل 28,0.00%
آلمان,فصل 33,0.00%
ترکمنستان,فصل 49,0.00%
یمن,فصل 18,0.00%
پاکستان,فصل 49,0.00%
بحرین,فصل 68,0.00%
امارات متحده عربی,فصل 55,0.00%
سوریه,فصل 13,0.00%
یمن,فصل 70,0.00%
کرواسی (Hrvatska),فصل 28,0.00%
ترکیه,فصل 67,0.00%
هلند,فصل 17,0.00%
کویت,فصل 19,0.00%
مالزی,فصل 13,0.00%
هند,فصل 69,0.00%
گرجستان,فصل 19,0.00%
یونان,فصل 20,0.00%
پاکستان,فصل 58,0.00%
قزاقستان,فصل 06,0.00%
نیجریه,فصل 68,0.00%
افغانستان,فصل 52,0.00%
تایلند,فصل 28,0.00%
سوریه,فصل 14,0.00%
قبرس,فصل 30,0.00%
فرانسه,فصل 68,0.00%
بحرین,فصل 34,0.00%
سوئد,فصل 09,0.00%
اردن,فصل 39,0.00%
استرالیا,فصل 68,0.00%
سری لانکا,فصل 68,0.00%
گرجستان,فصل 40,0.00%
اندونزی,فصل 29,0.00%
سوریه,فصل 84,0.00%
استرالیا,فصل 94,0.00%
ارمنستان,فصل 29,0.00%
لهستان,فصل 07,0.00%
انگلستان (بریتانیا),فصل 83,0.00%
بنگلادش,فصل 32,0.00%
ازبکستان,فصل 02,0.00%
کویت,فصل 54,0.00%
قطر,فصل 15,0.00%
نروژ,فصل 22,0.00%
لیبی,فصل 69,0.00%
سوئد,فصل 07,0.00%
پاکستان,فصل 83,0.00%
اوکراین,فصل 20,0.00%
کرواسی (Hrvatska),فصل 35,0.00%
پاکستان,فصل 95,0.00%
پاکستان,فصل 85,0.00%
فرانسه,فصل 86,0.00%
آفریقای جنوبی,فصل 19,0.00%
قطر,فصل 18,0.00%
تاجیکستان,فصل 40,0.00%
گرجستان,فصل 49,0.00%
امارات متحده عربی,فصل 96,0.00%
بحرین,فصل 95,0.00%
امارات متحده عربی,فصل 51,0.00%
ترکمنستان,فصل 61,0.00%
آلمان,فصل 69,0.00%
کانادا,فصل 19,0.00%
آلمان,فصل 85,0.00%
بلاروس,فصل 84,0.00%
لهستان,فصل 32,0.00%
اتریش,فصل 62,0.00%
افغانستان,فصل 60,0.00%
هلند,فصل 33,0.00%
عراق,فصل 89,0.00%
سوئد,فصل 84,0.00%
رومانی,فصل 34,0.00%
قرقیزستان,فصل 72,0.00%
ارمنستان,فصل 64,0.00%
چین,فصل 44,0.00%
کویت,فصل 44,0.00%
قطر,فصل 44,0.00%
رومانی,فصل 44,0.00%
کانادا,فصل 21,0.00%
هند,فصل 73,0.00%
هلند,فصل 39,0.00%
لیبی,فصل 38,0.00%
مجارستان,فصل 68,0.00%
مصر,فصل 38,0.00%
استرالیا,فصل 17,0.00%
ازبکستان,فصل 33,0.00%
ازبکستان,فصل 90,0.00%
فرانسه,فصل 33,0.00%
قطر,فصل 10,0.00%
بحرین,فصل 33,0.00%
اردن,فصل 09,0.00%
امارات متحده عربی,فصل 42,0.00%
اسپانیا,فصل 57,0.00%
اتریش,فصل 19,0.00%
صربستان و مونته نگرو,فصل 68,0.00%
کویت,فصل 33,0.00%
اسپانیا,فصل 68,0.00%
سنگاپور,فصل 84,0.00%
تاجیکستان,فصل 62,0.00%
سوریه,فصل 19,0.00%
عمان,فصل 71,0.00%
گرجستان,فصل 06,0.00%
اتریش,فصل 13,0.00%
لیبی,فصل 94,0.00%
بلغارستان,فصل 27,0.00%
آلمان,فصل 96,0.00%
ایتالیا,فصل 69,0.00%
سوئد,فصل 62,0.00%
یمن,فصل 28,0.00%
قرقیزستان,فصل 61,0.00%
هنگ کنگ,فصل 57,0.00%
انگلستان (بریتانیا),فصل 73,0.00%
آلمان,فصل 70,0.00%
انگلستان (بریتانیا),فصل 85,0.00%
چین,فصل 34,0.00%
کنیا,فصل 38,0.00%
لهستان,فصل 70,0.00%
چین,فصل 68,0.00%
سویس,فصل 08,0.00%
امارات متحده عربی,فصل 61,0.00%
سوریه,فصل 40,0.00%
مالزی,فصل 16,0.00%
استرالیا,فصل 39,0.00%
قزاقستان,فصل 96,0.00%
مجارستان,فصل 20,0.00%
تایوان,فصل 25,0.00%
افغانستان,فصل 12,0.00%
کانادا,فصل 92,0.00%
مالزی,فصل 22,0.00%
انگلستان (بریتانیا),فصل 84,0.00%
لهستان,فصل 18,0.00%
تایلند,فصل 90,0.00%
قرقیزستان,فصل 33,0.00%
بحرین,فصل 07,0.00%
سویس,فصل 39,0.00%
ارمنستان,فصل 19,0.00%
آلمان,فصل 76,0.00%
قطر,فصل 12,0.00%
سوریه,فصل 20,0.00%
چین,فصل 87,0.00%
تاجیکستان,فصل 95,0.00%
ساحل عاج (ساحل عاج),فصل 18,0.00%
استرالیا,فصل 33,0.00%
ژاپن,فصل 13,0.00%
قزاقستان,فصل 02,0.00%
چین,فصل 85,0.00%
بحرین,فصل 73,0.00%
انگلستان (بریتانیا),فصل 33,0.00%
ارمنستان,فصل 35,0.00%
هلند,فصل 19,0.00%
لبنان,فصل 01,0.00%
عربستان سعودی,فصل 68,0.00%
کره (جنوبی),فصل 68,0.00%
عربستان سعودی,فصل 25,0.00%
کویت,فصل 34,0.00%
مناطق آزاد,فصل 19,0.00%
اتریش,فصل 10,0.00%
هند,فصل 38,0.00%
آفریقای جنوبی,فصل 94,0.00%
یونان,فصل 25,0.00%
جمهوری آذربایجان,فصل 91,0.00%
عمان,فصل 35,0.00%
انگلستان (بریتانیا),فصل 71,0.00%
پاکستان,فصل 48,0.00%
مغولستان,فصل 08,0.00%
غنا,فصل 29,0.00%
بحرین,فصل 63,0.00%
فدراسیون روسیه,فصل 76,0.00%
بحرین,فصل 39,0.00%
سنگاپور,فصل 20,0.00%
پاکستان,فصل 11,0.00%
قرقیزستان,فصل 20,0.00%
استرالیا,فصل 63,0.00%
عمان,فصل 13,0.00%
ازبکستان,فصل 18,0.00%
کنیا,فصل 17,0.00%
میانمار,فصل 05,0.00%
آفریقای جنوبی,فصل 16,0.00%
ویتنام,فصل 90,0.00%
امارات متحده عربی,فصل 82,0.00%
اتریش,فصل 17,0.00%
کویت,فصل 83,0.00%
ویتنام,فصل 25,0.00%
گرجستان,فصل 74,0.00%
اندونزی,فصل 68,0.00%
لهستان,فصل 17,0.00%
ترکیه,فصل 14,0.00%
افغانستان,فصل 06,0.00%
رومانی,فصل 54,0.00%
انگلستان (بریتانیا),فصل 94,0.00%
انگلستان (بریتانیا),فصل 58,0.00%
کویت,فصل 18,0.00%
لیبی,فصل 73,0.00%
قطر,فصل 84,0.00%
بلغارستان,فصل 16,0.00%
کنیا,فصل 70,0.00%
قبرس,فصل 68,0.00%
عمان,فصل 90,0.00%
کانادا,فصل 69,0.00%
رومانی,فصل 16,0.00%
پرتغال,فصل 30,0.00%
برزیل,فصل 30,0.00%
قزاقستان,فصل 12,0.00%
کویت,فصل 58,0.00%
مجارستان,فصل 87,0.00%
کنیا,فصل 57,0.00%
لیبریا,فصل 27,0.00%
قطر,فصل 94,0.00%
نیجریه,فصل 38,0.00%
ارمنستان,فصل 18,0.00%
عمان,فصل 61,0.00%
اسپانیا,فصل 63,0.00%
عمان,فصل 32,0.00%
مالزی,فصل 68,0.00%
ترکمنستان,فصل 60,0.00%
بلژیک,فصل 76,0.00%
امارات متحده عربی,فصل 46,0.00%
جمهوری آذربایجان,فصل 97,0.00%
چین,فصل 20,0.00%
سنگال,فصل 57,0.00%
سویس,فصل 73,0.00%
نیجریه,فصل 30,0.00%
قزاقستان,فصل 91,0.00%
جمهوری مولداوی,فصل 07,0.00%
کویت,فصل 62,0.00%
مناطق آزاد,فصل 84,0.00%
لبنان,فصل 40,0.00%
ارمنستان,فصل 96,0.00%
عمان,فصل 63,0.00%
ایالات متحده,فصل 49,0.00%
ازبکستان,فصل 06,0.00%
ژاپن,فصل 84,0.00%
سوئد,فصل 17,0.00%
کویت,فصل 82,0.00%
افغانستان,فصل 50,0.00%
اتریش,فصل 68,0.00%
استرالیا,فصل 69,0.00%
افغانستان,فصل 66,0.00%
هلند,فصل 73,0.00%
پاکستان,فصل 68,0.00%
نروژ,فصل 57,0.00%
کره (جنوبی),فصل 07,0.00%
جمهوری چک,فصل 30,0.00%
سنگاپور,فصل 16,0.00%
هلند,فصل 07,0.00%
قرقیزستان,فصل 94,0.00%
آلمان,فصل 62,0.00%
هند,فصل 12,0.00%
چین,فصل 19,0.00%
لبنان,فصل 03,0.00%
ترکیه,فصل 33,0.00%
انگلستان (بریتانیا),فصل 69,0.00%
گرجستان,فصل 85,0.00%
ترکمنستان,فصل 90,0.00%
سری لانکا,فصل 49,0.00%
مناطق آزاد,فصل 72,0.00%
لوکزامبورگ,فصل 16,0.00%
ازبکستان,فصل 82,0.00%
مناطق آزاد,فصل 70,0.00%
عمان,فصل 42,0.00%
کویت,فصل 94,0.00%
گرجستان,فصل 29,0.00%
فرانسه,فصل 44,0.00%
انگلستان (بریتانیا),فصل 42,0.00%
نیجریه,فصل 04,0.00%
استرالیا,فصل 70,0.00%
عمان,فصل 40,0.00%
تایلند,فصل 25,0.00%
سوئد,فصل 73,0.00%
مالزی,فصل 04,0.00%
انگلستان (بریتانیا),فصل 16,0.00%
بحرین,فصل 76,0.00%
ژاپن,فصل 63,0.00%
نیوزیلند (Aotearoa),فصل 21,0.00%
ترکمنستان,فصل 62,0.00%
سویس,فصل 22,0.00%
قطر,فصل 76,0.00%
دانمارک,فصل 33,0.00%
آفریقای جنوبی,فصل 30,0.00%
کانادا,فصل 62,0.00%
چین,فصل 71,0.00%
بوسنی و هرزگوین,فصل 39,0.00%
ترکمنستان,فصل 91,0.00%
نروژ,فصل 09,0.00%
فرانسه,فصل 12,0.00%
کانادا,فصل 48,0.00%
جمهوری مقدونیه(یوگسلاوی),فصل 33,0.00%
نروژ,فصل 17,0.00%
انگلستان (بریتانیا),فصل 87,0.00%
هنگ کنگ,فصل 21,0.00%
مناطق آزاد,فصل 39,0.00%
نیوزیلند (Aotearoa),فصل 20,0.00%
فدراسیون روسیه,فصل 11,0.00%
ایتالیا,فصل 95,0.00%
رومانی,فصل 25,0.00%
کره (جنوبی),فصل 08,0.00%
کلمبیا,فصل 57,0.00%
جمهوری آذربایجان,فصل 13,0.00%
آلمان,فصل 44,0.00%
تانزانیا,فصل 49,0.00%
مکزیک,فصل 41,0.00%
کانادا,فصل 33,0.00%
استرالیا,فصل 12,0.00%
عراق,فصل 75,0.00%
ایتالیا,فصل 48,0.00%
صربستان و مونته نگرو,فصل 20,0.00%
سوئد,فصل 76,0.00%
مالزی,فصل 38,0.00%
هلند,فصل 69,0.00%
مالزی,فصل 20,0.00%
قرقیزستان,فصل 17,0.00%
بلژیک,فصل 69,0.00%
سویس,فصل 17,0.00%
پاکستان,فصل 44,0.00%
نیجریه,فصل 18,0.00%
لبنان,فصل 95,0.00%
ترکیه,فصل 96,0.00%
چین,فصل 50,0.00%
