Wrong country,فصل,%GT Total Import
چین,فصل 98,9.45%
امارات متحده عربی,فصل 85,5.68%
چین,فصل 85,4.89%
چین,فصل 84,4.54%
امارات متحده عربی,فصل 84,3.73%
ترکیه,فصل 15,3.58%
امارات متحده عربی,فصل 15,2.53%
ترکیه,فصل 71,2.44%
امارات متحده عربی,فصل 12,2.21%
ترکیه,فصل 10,2.18%
چین,فصل 87,1.94%
امارات متحده عربی,فصل 10,1.89%
امارات متحده عربی,فصل 87,1.47%
هند,فصل 10,1.44%
امارات متحده عربی,فصل 71,1.30%
امارات متحده عربی,فصل 29,1.29%
امارات متحده عربی,فصل 98,1.20%
ترکیه,فصل 84,1.20%
چین,فصل 29,1.00%
چین,فصل 39,0.96%
چین,فصل 72,0.95%
امارات متحده عربی,فصل 39,0.86%
پاکستان,فصل 10,0.85%
امارات متحده عربی,فصل 23,0.84%
امارات متحده عربی,فصل 38,0.84%
ترکیه,فصل 87,0.82%
امارات متحده عربی,فصل 17,0.80%
امارات متحده عربی,فصل 90,0.77%
فدراسیون روسیه,فصل 84,0.77%
چین,فصل 73,0.74%
هنگ کنگ,فصل 98,0.69%
عراق,فصل 71,0.67%
ترکیه,فصل 23,0.65%
چین,فصل 38,0.63%
چین,فصل 48,0.62%
چین,فصل 90,0.61%
ترکیه,فصل 08,0.61%
هلند,فصل 12,0.61%
هند,فصل 09,0.57%
فدراسیون روسیه,فصل 44,0.55%
ترکیه,فصل 85,0.52%
فدراسیون روسیه,فصل 10,0.52%
چین,فصل 40,0.51%
امارات متحده عربی,فصل 40,0.49%
امارات متحده عربی,فصل 72,0.49%
ترکیه,فصل 98,0.47%
چین,فصل 27,0.44%
امارات متحده عربی,فصل 09,0.44%
آلمان,فصل 84,0.43%
امارات متحده عربی,فصل 30,0.43%
ترکیه,فصل 12,0.41%
امارات متحده عربی,فصل 27,0.41%
ترکیه,فصل 39,0.39%
امارات متحده عربی,فصل 07,0.37%
عمان,فصل 15,0.36%
امارات متحده عربی,فصل 44,0.34%
چین,فصل 76,0.33%
مناطق ویژه,فصل 28,0.32%
هنگ کنگ,فصل 10,0.31%
لبنان,فصل 87,0.29%
امارات متحده عربی,فصل 48,0.29%
سنگاپور,فصل 23,0.28%
امارات متحده عربی,فصل 54,0.28%
هنگ کنگ,فصل 71,0.28%
آلمان,فصل 85,0.28%
ایتالیا,فصل 84,0.28%
امارات متحده عربی,فصل 24,0.26%
مالزی,فصل 15,0.26%
امارات متحده عربی,فصل 47,0.25%
چین,فصل 54,0.24%
هند,فصل 08,0.23%
کره (جنوبی),فصل 84,0.23%
ترکیه,فصل 29,0.23%
ترکیه,فصل 38,0.23%
چین,فصل 70,0.22%
اتریش,فصل 30,0.22%
امارات متحده عربی,فصل 18,0.21%
سری لانکا,فصل 09,0.21%
امارات متحده عربی,فصل 21,0.20%
ایتالیا,فصل 30,0.20%
فیلیپین,فصل 08,0.20%
آلمان,فصل 87,0.19%
ترکیه,فصل 55,0.19%
چین,فصل 55,0.18%
ترکیه,فصل 04,0.18%
ترکیه,فصل 90,0.17%
کره (جنوبی),فصل 85,0.17%
ترکیه,فصل 28,0.17%
امارات متحده عربی,فصل 76,0.17%
هنگ کنگ,فصل 85,0.16%
چین,فصل 32,0.16%
آلمان,فصل 90,0.16%
هنگ کنگ,فصل 84,0.16%
ترکیه,فصل 47,0.16%
امارات متحده عربی,فصل 32,0.16%
امارات متحده عربی,فصل 28,0.15%
سویس,فصل 24,0.15%
چین,فصل 28,0.15%
چین,فصل 94,0.14%
امارات متحده عربی,فصل 73,0.14%
امارات متحده عربی,فصل 33,0.14%
فرانسه,فصل 90,0.13%
پاکستان,فصل 08,0.13%
امارات متحده عربی,فصل 34,0.13%
هند,فصل 29,0.13%
هلند,فصل 90,0.13%
مالزی,فصل 40,0.12%
چین,فصل 68,0.12%
کره (جنوبی),فصل 39,0.12%
امارات متحده عربی,فصل 55,0.12%
ترکیه,فصل 18,0.12%
اسپانیا,فصل 30,0.12%
تاجیکستان,فصل 15,0.11%
کره (جنوبی),فصل 52,0.11%
سویس,فصل 30,0.11%
هلند,فصل 04,0.11%
آلمان,فصل 24,0.11%
آلمان,فصل 04,0.11%
آلمان,فصل 30,0.11%
عراق,فصل 87,0.11%
تاجیکستان,فصل 52,0.11%
فرانسه,فصل 30,0.10%
امارات متحده عربی,فصل 26,0.10%
عمان,فصل 27,0.10%
امارات متحده عربی,فصل 31,0.10%
ترکیه,فصل 32,0.10%
امارات متحده عربی,فصل 56,0.10%
سویس,فصل 12,0.09%
هنگ کنگ,فصل 12,0.09%
قطر,فصل 47,0.09%
چین,فصل 25,0.09%
ترکیه,فصل 72,0.09%
آلمان,فصل 38,0.09%
سویس,فصل 90,0.09%
ترکیه,فصل 48,0.09%
چین,فصل 12,0.09%
هنگ کنگ,فصل 29,0.09%
امارات متحده عربی,فصل 83,0.09%
چین,فصل 69,0.08%
چین,فصل 83,0.08%
مالزی,فصل 98,0.08%
عراق,فصل 76,0.08%
عراق,فصل 27,0.08%
ترکیه,فصل 35,0.08%
چین,فصل 31,0.08%
ترکیه,فصل 44,0.08%
ترکیه,فصل 30,0.08%
عراق,فصل 85,0.08%
انگلستان (بریتانیا),فصل 12,0.08%
امارات متحده عربی,فصل 25,0.08%
ترکیه,فصل 34,0.08%
ترکیه,فصل 33,0.08%
اسپانیا,فصل 85,0.08%
امارات متحده عربی,فصل 08,0.07%
تایلند,فصل 40,0.07%
آفریقای جنوبی,فصل 44,0.07%
کره (جنوبی),فصل 90,0.07%
اتریش,فصل 90,0.07%
کوبا,فصل 30,0.07%
ترکیه,فصل 40,0.07%
امارات متحده عربی,فصل 02,0.06%
امارات متحده عربی,فصل 82,0.06%
امارات متحده عربی,فصل 35,0.06%
مناطق آزاد,فصل 10,0.06%
چین,فصل 82,0.06%
چین,فصل 59,0.06%
استرالیا,فصل 02,0.06%
آلمان,فصل 72,0.06%
هند,فصل 38,0.06%
مناطق آزاد,فصل 09,0.06%
قطر,فصل 39,0.06%
چین,فصل 74,0.06%
انگلستان (بریتانیا),فصل 21,0.06%
ترکیه,فصل 02,0.05%
امارات متحده عربی,فصل 70,0.05%
بنگلادش,فصل 53,0.05%
ایتالیا,فصل 34,0.05%
ترکیه,فصل 73,0.05%
هنگ کنگ,فصل 39,0.05%
هند,فصل 72,0.05%
عمان,فصل 87,0.05%
مناطق آزاد,فصل 27,0.05%
هنگ کنگ,فصل 90,0.05%
سویس,فصل 84,0.05%
ترکیه,فصل 54,0.05%
پاکستان,فصل 12,0.05%
آلمان,فصل 18,0.05%
عمان,فصل 29,0.05%
پاکستان,فصل 01,0.05%
چین,فصل 34,0.05%
عمان,فصل 84,0.05%
چین,فصل 58,0.05%
فدراسیون روسیه,فصل 56,0.05%
انگلستان (بریتانیا),فصل 84,0.05%
تایوان,فصل 39,0.05%
ترکیه,فصل 31,0.05%
ایتالیا,فصل 33,0.04%
هند,فصل 84,0.04%
ترکیه,فصل 24,0.04%
ایالات متحده,فصل 90,0.04%
اسپانیا,فصل 31,0.04%
ترکیه,فصل 56,0.04%
اتریش,فصل 84,0.04%
امارات متحده عربی,فصل 03,0.04%
ایرلند,فصل 33,0.04%
اتریش,فصل 04,0.04%
آلمان,فصل 32,0.04%
هند,فصل 02,0.04%
ایتالیا,فصل 85,0.04%
اندونزی,فصل 44,0.04%
گرجستان,فصل 87,0.04%
بلژیک,فصل 84,0.04%
امارات متحده عربی,فصل 20,0.04%
هنگ کنگ,فصل 48,0.04%
سویس,فصل 56,0.04%
چین,فصل 96,0.04%
لوکزامبورگ,فصل 29,0.04%
آلمان,فصل 39,0.04%
ویتنام,فصل 09,0.04%
هند,فصل 87,0.04%
فدراسیون روسیه,فصل 07,0.04%
مناطق آزاد,فصل 85,0.04%
سنگاپور,فصل 40,0.04%
ایتالیا,فصل 32,0.04%
امارات متحده عربی,فصل 13,0.04%
ایتالیا,فصل 90,0.04%
بلژیک,فصل 38,0.04%
عراق,فصل 40,0.04%
چین,فصل 86,0.03%
ایالات متحده,فصل 21,0.03%
بلاروس,فصل 55,0.03%
ازبکستان,فصل 52,0.03%
جمهوری چک,فصل 84,0.03%
چین,فصل 95,0.03%
ترکیه,فصل 52,0.03%
آلمان,فصل 40,0.03%
تایوان,فصل 72,0.03%
امارات متحده عربی,فصل 75,0.03%
امارات متحده عربی,فصل 95,0.03%
کره (جنوبی),فصل 72,0.03%
آلمان,فصل 48,0.03%
آلمان,فصل 33,0.03%
مناطق ویژه,فصل 24,0.03%
اسپانیا,فصل 48,0.03%
اتریش,فصل 21,0.03%
عراق,فصل 47,0.03%
فرانسه,فصل 29,0.03%
هنگ کنگ,فصل 87,0.03%
تایوان,فصل 85,0.03%
امارات متحده عربی,فصل 52,0.03%
امارات متحده عربی,فصل 68,0.03%
هند,فصل 39,0.03%
عمان,فصل 85,0.03%
بلژیک,فصل 69,0.03%
چین,فصل 35,0.03%
ترکیه,فصل 07,0.03%
مالزی,فصل 39,0.03%
چین,فصل 60,0.03%
چین,فصل 09,0.03%
اسپانیا,فصل 38,0.03%
امارات متحده عربی,فصل 94,0.03%
آلمان,فصل 12,0.03%
فدراسیون روسیه,فصل 52,0.03%
هند,فصل 30,0.03%
آلمان,فصل 68,0.03%
اکوادور,فصل 08,0.03%
ایتالیا,فصل 21,0.03%
هلند,فصل 84,0.03%
برزیل,فصل 02,0.03%
ترکیه,فصل 70,0.03%
هنگ کنگ,فصل 28,0.03%
ایالات متحده,فصل 29,0.03%
جمهوری آذربایجان,فصل 84,0.03%
تایلند,فصل 87,0.03%
بلژیک,فصل 30,0.03%
ایتالیا,فصل 15,0.02%
عراق,فصل 35,0.02%
سنگاپور,فصل 03,0.02%
هند,فصل 33,0.02%
مالزی,فصل 29,0.02%
اندونزی,فصل 98,0.02%
افغانستان,فصل 12,0.02%
عراق,فصل 84,0.02%
ترکیه,فصل 68,0.02%
ترکیه,فصل 59,0.02%
انگلستان (بریتانیا),فصل 85,0.02%
هنگ کنگ,فصل 47,0.02%
پرتغال,فصل 84,0.02%
کره (جنوبی),فصل 29,0.02%
چین,فصل 91,0.02%
آلمان,فصل 21,0.02%
تایلند,فصل 10,0.02%
ایتالیا,فصل 38,0.02%
قبرس,فصل 84,0.02%
گرجستان,فصل 38,0.02%
اتریش,فصل 85,0.02%
کره (جنوبی),فصل 98,0.02%
اسپانیا,فصل 32,0.02%
ایرلند,فصل 30,0.02%
هند,فصل 28,0.02%
ایتالیا,فصل 39,0.02%
اتریش,فصل 29,0.02%
هند,فصل 24,0.02%
هند,فصل 12,0.02%
تایوان,فصل 90,0.02%
ازبکستان,فصل 07,0.02%
امارات متحده عربی,فصل 59,0.02%
چین,فصل 30,0.02%
اسپانیا,فصل 84,0.02%
اسپانیا,فصل 76,0.02%
ایالات متحده,فصل 38,0.02%
بلژیک,فصل 90,0.02%
چین,فصل 81,0.02%
پرتغال,فصل 90,0.02%
هند,فصل 90,0.02%
ترکمنستان,فصل 52,0.02%
انگلستان (بریتانیا),فصل 17,0.02%
هند,فصل 32,0.02%
آلمان,فصل 29,0.02%
کره (جنوبی),فصل 30,0.02%
فرانسه,فصل 23,0.02%
عمان,فصل 33,0.02%
اسپانیا,فصل 33,0.02%
عمان,فصل 32,0.02%
تایوان,فصل 84,0.02%
ترکیه,فصل 96,0.02%
چین,فصل 47,0.02%
اردن,فصل 30,0.02%
چین,فصل 15,0.02%
ترکیه,فصل 75,0.02%
سنگاپور,فصل 85,0.02%
ترکیه,فصل 80,0.02%
هند,فصل 27,0.02%
ترکیه,فصل 27,0.02%
گرجستان,فصل 54,0.02%
هلند,فصل 33,0.02%
عمان,فصل 10,0.02%
آلمان,فصل 34,0.02%
چین,فصل 13,0.02%
امارات متحده عربی,فصل 69,0.02%
انگلستان (بریتانیا),فصل 30,0.02%
تایلند,فصل 84,0.02%
امارات متحده عربی,فصل 80,0.02%
چین,فصل 44,0.02%
عمان,فصل 90,0.02%
آلمان,فصل 28,0.02%
آلمان,فصل 15,0.02%
اتریش,فصل 48,0.02%
امارات متحده عربی,فصل 96,0.02%
ترکیه,فصل 76,0.02%
عمان,فصل 39,0.02%
تایلند,فصل 98,0.02%
فرانسه,فصل 31,0.02%
کانادا,فصل 29,0.02%
عمان,فصل 40,0.02%
هند,فصل 07,0.02%
مالزی,فصل 38,0.02%
مناطق ویژه,فصل 73,0.01%
اسپانیا,فصل 72,0.01%
هند,فصل 06,0.01%
ایتالیا,فصل 29,0.01%
ترکیه,فصل 94,0.01%
هنگ کنگ,فصل 72,0.01%
بلاروس,فصل 44,0.01%
سنگاپور,فصل 90,0.01%
چین,فصل 56,0.01%
کره (جنوبی),فصل 48,0.01%
تایلند,فصل 20,0.01%
فدراسیون روسیه,فصل 48,0.01%
آلمان,فصل 31,0.01%
غنا,فصل 03,0.01%
ژاپن,فصل 87,0.01%
دانمارک,فصل 21,0.01%
کانادا,فصل 23,0.01%
ترکیه,فصل 21,0.01%
امارات متحده عربی,فصل 91,0.01%
ازبکستان,فصل 38,0.01%
هند,فصل 21,0.01%
افغانستان,فصل 10,0.01%
بلژیک,فصل 04,0.01%
دانمارک,فصل 84,0.01%
ژاپن,فصل 84,0.01%
ترکیه,فصل 69,0.01%
هند,فصل 20,0.01%
مناطق آزاد,فصل 33,0.01%
فرانسه,فصل 33,0.01%
ارمنستان,فصل 44,0.01%
ترکیه,فصل 83,0.01%
عراق,فصل 32,0.01%
آلمان,فصل 73,0.01%
اندونزی,فصل 09,0.01%
سویس,فصل 85,0.01%
افغانستان,فصل 07,0.01%
سویس,فصل 29,0.01%
ایالات متحده,فصل 30,0.01%
تایوان,فصل 32,0.01%
ایتالیا,فصل 31,0.01%
اتریش,فصل 13,0.01%
هند,فصل 34,0.01%
مالزی,فصل 55,0.01%
زامبیا,فصل 24,0.01%
گرجستان,فصل 84,0.01%
امارات متحده عربی,فصل 04,0.01%
جمهوری چک,فصل 30,0.01%
سوئد,فصل 90,0.01%
سوئد,فصل 85,0.01%
جمهوری چک,فصل 25,0.01%
امارات متحده عربی,فصل 37,0.01%
ازبکستان,فصل 31,0.01%
اتریش,فصل 39,0.01%
فدراسیون روسیه,فصل 31,0.01%
قزاقستان,فصل 87,0.01%
چین,فصل 03,0.01%
هنگ کنگ,فصل 76,0.01%
فدراسیون روسیه,فصل 39,0.01%
فدراسیون روسیه,فصل 28,0.01%
مالاوی,فصل 24,0.01%
اوگاندا,فصل 24,0.01%
ترکیه,فصل 82,0.01%
پرتغال,فصل 48,0.01%
انگلستان (بریتانیا),فصل 29,0.01%
هلند,فصل 30,0.01%
انگلستان (بریتانیا),فصل 87,0.01%
کنیا,فصل 09,0.01%
فرانسه,فصل 72,0.01%
عمان,فصل 12,0.01%
ترکیه,فصل 37,0.01%
فدراسیون روسیه,فصل 85,0.01%
اندونزی,فصل 21,0.01%
پاکستان,فصل 31,0.01%
تایوان,فصل 48,0.01%
کره (جنوبی),فصل 38,0.01%
چین,فصل 37,0.01%
آلمان,فصل 51,0.01%
آلمان,فصل 17,0.01%
هنگ کنگ,فصل 32,0.01%
امارات متحده عربی,فصل 86,0.01%
سویس,فصل 38,0.01%
عراق,فصل 39,0.01%
فرانسه,فصل 85,0.01%
گرجستان,فصل 44,0.01%
ترکیه,فصل 58,0.01%
آلمان,فصل 76,0.01%
عراق,فصل 83,0.01%
اسپانیا,فصل 13,0.01%
ایالات متحده,فصل 40,0.01%
هند,فصل 15,0.01%
قرقیزستان,فصل 07,0.01%
فدراسیون روسیه,فصل 24,0.01%
فرانسه,فصل 84,0.01%
مالزی,فصل 48,0.01%
هنگ کنگ,فصل 38,0.01%
کره (جنوبی),فصل 87,0.01%
چین,فصل 33,0.01%
کره (جنوبی),فصل 82,0.01%
اکوادور,فصل 21,0.01%
ایتالیا,فصل 27,0.01%
هند,فصل 13,0.01%
قطر,فصل 85,0.01%
پرتغال,فصل 30,0.01%
اندونزی,فصل 08,0.01%
سوئد,فصل 84,0.01%
اتیوپی,فصل 07,0.01%
عمان,فصل 91,0.01%
امارات متحده عربی,فصل 53,0.01%
اسپانیا,فصل 12,0.01%
کره (جنوبی),فصل 40,0.01%
ایتالیا,فصل 82,0.01%
عمان,فصل 34,0.01%
چین,فصل 80,0.01%
اندونزی,فصل 38,0.01%
برزیل,فصل 21,0.01%
هند,فصل 85,0.01%
هلند,فصل 38,0.01%
استرالیا,فصل 12,0.01%
سری لانکا,فصل 14,0.01%
آلمان,فصل 55,0.01%
اسلواکی,فصل 87,0.01%
ویتنام,فصل 35,0.01%
ایرلند,فصل 84,0.01%
هند,فصل 40,0.01%
مالزی,فصل 84,0.01%
کویت,فصل 33,0.01%
هنگ کنگ,فصل 59,0.01%
تایوان,فصل 82,0.01%
هنگ کنگ,فصل 94,0.01%
هنگ کنگ,فصل 40,0.01%
فدراسیون روسیه,فصل 47,0.01%
ارمنستان,فصل 84,0.01%
چین,فصل 21,0.01%
سویس,فصل 33,0.01%
فرانسه,فصل 38,0.01%
افغانستان,فصل 08,0.01%
ترکیه,فصل 13,0.01%
اندونزی,فصل 48,0.01%
سویس,فصل 39,0.01%
امارات متحده عربی,فصل 81,0.01%
امارات متحده عربی,فصل 11,0.01%
قرقیزستان,فصل 84,0.01%
سویس,فصل 35,0.01%
انگلستان (بریتانیا),فصل 32,0.01%
اسلواکی,فصل 98,0.01%
ایرلند,فصل 28,0.01%
هلند,فصل 87,0.01%
مکزیک,فصل 31,0.01%
آلمان,فصل 54,0.01%
لهستان,فصل 84,0.01%
سویس,فصل 37,0.01%
چین,فصل 26,0.01%
مناطق آزاد,فصل 22,0.01%
ژاپن,فصل 55,0.01%
سوئد,فصل 29,0.01%
فدراسیون روسیه,فصل 30,0.01%
ایتالیا,فصل 28,0.01%
ایرلند,فصل 15,0.01%
