Wrong country,فصل,%GT Total Import
عراق,فصل 10,0.01%
سری لانکا,فصل 76,0.01%
اسپانیا,فصل 39,0.01%
ترکیه,فصل 74,0.01%
کویت,فصل 39,0.01%
اسپانیا,فصل 29,0.00%
ترکیه,فصل 19,0.00%
بلژیک,فصل 39,0.00%
اسپانیا,فصل 90,0.00%
فدراسیون روسیه,فصل 26,0.00%
اتریش,فصل 35,0.00%
هنگ کنگ,فصل 18,0.00%
سوئد,فصل 87,0.00%
بلاروس,فصل 47,0.00%
انگلستان (بریتانیا),فصل 38,0.00%
مناطق آزاد,فصل 39,0.00%
یونان,فصل 12,0.00%
کره (جنوبی),فصل 32,0.00%
پاکستان,فصل 35,0.00%
اتریش,فصل 32,0.00%
چین,فصل 20,0.00%
ترکیه,فصل 01,0.00%
ایتالیا,فصل 73,0.00%
آفریقای جنوبی,فصل 26,0.00%
ترکیه,فصل 26,0.00%
کانادا,فصل 84,0.00%
آلمان,فصل 98,0.00%
لهستان,فصل 24,0.00%
انگلستان (بریتانیا),فصل 33,0.00%
مالزی,فصل 32,0.00%
سویس,فصل 20,0.00%
امارات متحده عربی,فصل 58,0.00%
فدراسیون روسیه,فصل 73,0.00%
هلند,فصل 35,0.00%
عمان,فصل 48,0.00%
هلند,فصل 06,0.00%
افغانستان,فصل 39,0.00%
ازبکستان,فصل 08,0.00%
عراق,فصل 26,0.00%
هند,فصل 14,0.00%
ایرلند,فصل 40,0.00%
لهستان,فصل 23,0.00%
لوکزامبورگ,فصل 21,0.00%
امارات متحده عربی,فصل 14,0.00%
کره (جنوبی),فصل 35,0.00%
پاکستان,فصل 05,0.00%
انگلستان (بریتانیا),فصل 90,0.00%
انگلستان (بریتانیا),فصل 39,0.00%
چین,فصل 17,0.00%
ایتالیا,فصل 72,0.00%
ایتالیا,فصل 94,0.00%
هند,فصل 48,0.00%
آلمان,فصل 07,0.00%
هند,فصل 55,0.00%
نیوزیلند (Aotearoa),فصل 51,0.00%
چین,فصل 75,0.00%
بلاروس,فصل 70,0.00%
لهستان,فصل 85,0.00%
مالزی,فصل 76,0.00%
هند,فصل 25,0.00%
تانزانیا,فصل 26,0.00%
ژاپن,فصل 85,0.00%
فرانسه,فصل 56,0.00%
ایرلند,فصل 23,0.00%
افغانستان,فصل 29,0.00%
فرانسه,فصل 13,0.00%
ایتالیا,فصل 40,0.00%
افغانستان,فصل 09,0.00%
عراق,فصل 38,0.00%
چین,فصل 23,0.00%
عراق,فصل 54,0.00%
سویس,فصل 72,0.00%
ترکیه,فصل 17,0.00%
ایتالیا,فصل 48,0.00%
تایلند,فصل 96,0.00%
پرتغال,فصل 85,0.00%
کانادا,فصل 30,0.00%
تایلند,فصل 07,0.00%
هند,فصل 83,0.00%
آلمان,فصل 82,0.00%
کره (جنوبی),فصل 68,0.00%
آلمان,فصل 35,0.00%
سوئد,فصل 28,0.00%
مغولستان,فصل 02,0.00%
هلند,فصل 17,0.00%
اندونزی,فصل 40,0.00%
فدراسیون روسیه,فصل 70,0.00%
چین,فصل 52,0.00%
فرانسه,فصل 40,0.00%
عمان,فصل 72,0.00%
آلمان,فصل 37,0.00%
بلژیک,فصل 23,0.00%
کره (جنوبی),فصل 28,0.00%
امارات متحده عربی,فصل 50,0.00%
لوکزامبورگ,فصل 23,0.00%
ترکیه,فصل 60,0.00%
مناطق آزاد,فصل 90,0.00%
پاکستان,فصل 52,0.00%
گرجستان,فصل 55,0.00%
بلژیک,فصل 28,0.00%
سوئد,فصل 21,0.00%
فرانسه,فصل 39,0.00%
مالزی,فصل 90,0.00%
مناطق آزاد,فصل 30,0.00%
مالزی,فصل 87,0.00%
هلند,فصل 52,0.00%
لهستان,فصل 40,0.00%
مکزیک,فصل 29,0.00%
ژاپن,فصل 34,0.00%
ایرلند,فصل 29,0.00%
بلغارستان,فصل 84,0.00%
لهستان,فصل 21,0.00%
اتریش,فصل 87,0.00%
هند,فصل 96,0.00%
بلژیک,فصل 70,0.00%
مالزی,فصل 34,0.00%
قزاقستان,فصل 84,0.00%
هند,فصل 68,0.00%
ویتنام,فصل 85,0.00%
ویتنام,فصل 82,0.00%
گرجستان,فصل 30,0.00%
تایلند,فصل 35,0.00%
عراق,فصل 73,0.00%
فرانسه,فصل 28,0.00%
ایرلند,فصل 38,0.00%
کره (جنوبی),فصل 73,0.00%
کره (جنوبی),فصل 59,0.00%
اندونزی,فصل 87,0.00%
کره (جنوبی),فصل 76,0.00%
برزیل,فصل 82,0.00%
ایتالیا,فصل 44,0.00%
سیشل,فصل 28,0.00%
گرجستان,فصل 40,0.00%
اسپانیا,فصل 03,0.00%
کره (جنوبی),فصل 37,0.00%
فرانسه,فصل 07,0.00%
کویت,فصل 87,0.00%
انگلستان (بریتانیا),فصل 19,0.00%
اسلواکی,فصل 84,0.00%
امارات متحده عربی,فصل 74,0.00%
اردن,فصل 90,0.00%
مجارستان,فصل 39,0.00%
فدراسیون روسیه,فصل 09,0.00%
اتریش,فصل 75,0.00%
ترکیه,فصل 20,0.00%
برزیل,فصل 73,0.00%
پرتغال,فصل 39,0.00%
ترکیه,فصل 53,0.00%
انگلستان (بریتانیا),فصل 27,0.00%
لوکزامبورگ,فصل 35,0.00%
فدراسیون روسیه,فصل 72,0.00%
اسپانیا,فصل 21,0.00%
چین,فصل 08,0.00%
کره (جنوبی),فصل 27,0.00%
قزاقستان,فصل 85,0.00%
ارمنستان,فصل 39,0.00%
جمهوری چک,فصل 72,0.00%
عراق,فصل 44,0.00%
مواناکو,فصل 15,0.00%
سوریه,فصل 85,0.00%
چین,فصل 18,0.00%
لوکزامبورگ,فصل 32,0.00%
هند,فصل 69,0.00%
ایتالیا,فصل 69,0.00%
فدراسیون روسیه,فصل 38,0.00%
اتیوپی,فصل 12,0.00%
تایلند,فصل 28,0.00%
دانمارک,فصل 33,0.00%
هلند,فصل 94,0.00%
ایتالیا,فصل 12,0.00%
امارات متحده عربی,فصل 65,0.00%
قبرس,فصل 29,0.00%
امارات متحده عربی,فصل 92,0.00%
تایوان,فصل 73,0.00%
ویتنام,فصل 44,0.00%
اسپانیا,فصل 26,0.00%
قطر,فصل 29,0.00%
ترکیه,فصل 25,0.00%
اتریش,فصل 28,0.00%
لوکزامبورگ,فصل 39,0.00%
ارمنستان,فصل 48,0.00%
ازبکستان,فصل 50,0.00%
ایرلند,فصل 39,0.00%
قزاقستان,فصل 07,0.00%
هند,فصل 59,0.00%
آلمان,فصل 62,0.00%
تایوان,فصل 83,0.00%
اسپانیا,فصل 28,0.00%
ایتالیا,فصل 35,0.00%
تایلند,فصل 44,0.00%
هلند,فصل 29,0.00%
ایرلند,فصل 32,0.00%
هند,فصل 76,0.00%
مناطق آزاد,فصل 84,0.00%
کلمبیا,فصل 09,0.00%
فدراسیون روسیه,فصل 90,0.00%
پاکستان,فصل 53,0.00%
اسلوونی,فصل 84,0.00%
ویتنام,فصل 70,0.00%
تایوان,فصل 87,0.00%
ایتالیا,فصل 59,0.00%
تایوان,فصل 29,0.00%
اوگاندا,فصل 09,0.00%
جمهوری آذربایجان,فصل 44,0.00%
بلژیک,فصل 29,0.00%
آلمان,فصل 83,0.00%
لوکزامبورگ,فصل 11,0.00%
ویتنام,فصل 39,0.00%
دانمارک,فصل 38,0.00%
تایلند,فصل 90,0.00%
امارات متحده عربی,فصل 61,0.00%
قزاقستان,فصل 02,0.00%
کره (جنوبی),فصل 33,0.00%
مواناکو,فصل 29,0.00%
کره (جنوبی),فصل 70,0.00%
فدراسیون روسیه,فصل 17,0.00%
سنگاپور,فصل 39,0.00%
ترکمنستان,فصل 08,0.00%
اسپانیا,فصل 35,0.00%
افغانستان,فصل 25,0.00%
جمهوری مقدونیه(یوگسلاوی),فصل 84,0.00%
آفریقای جنوبی,فصل 34,0.00%
ترکیه,فصل 81,0.00%
مناطق ویژه,فصل 85,0.00%
لبنان,فصل 85,0.00%
ویتنام,فصل 08,0.00%
هنگ کنگ,فصل 81,0.00%
تایوان,فصل 06,0.00%
انگلستان (بریتانیا),فصل 48,0.00%
استونی,فصل 85,0.00%
اتریش,فصل 70,0.00%
ژاپن,فصل 30,0.00%
فرانسه,فصل 27,0.00%
یونان,فصل 20,0.00%
رومانی,فصل 02,0.00%
عراق,فصل 70,0.00%
ویتنام,فصل 84,0.00%
هنگ کنگ,فصل 37,0.00%
بلژیک,فصل 33,0.00%
هلند,فصل 85,0.00%
اتریش,فصل 33,0.00%
اردن,فصل 31,0.00%
هلند,فصل 21,0.00%
آلمان,فصل 44,0.00%
هلند,فصل 39,0.00%
لبنان,فصل 90,0.00%
فدراسیون روسیه,فصل 32,0.00%
مناطق ویژه,فصل 87,0.00%
آلمان,فصل 25,0.00%
هند,فصل 79,0.00%
اتریش,فصل 15,0.00%
استرالیا,فصل 90,0.00%
پاکستان,فصل 90,0.00%
عمان,فصل 82,0.00%
سوئد,فصل 23,0.00%
هند,فصل 52,0.00%
ایتالیا,فصل 76,0.00%
اسلواکی,فصل 13,0.00%
کرواسی (Hrvatska),فصل 30,0.00%
اتریش,فصل 23,0.00%
جمهوری چک,فصل 28,0.00%
هند,فصل 82,0.00%
تایوان,فصل 40,0.00%
استرالیا,فصل 35,0.00%
بلژیک,فصل 15,0.00%
تایلند,فصل 48,0.00%
فرانسه,فصل 82,0.00%
هند,فصل 54,0.00%
انگلستان (بریتانیا),فصل 78,0.00%
رومانی,فصل 86,0.00%
ارمنستان,فصل 90,0.00%
سنگاپور,فصل 26,0.00%
هنگ کنگ,فصل 74,0.00%
هند,فصل 73,0.00%
ایالات متحده,فصل 39,0.00%
گرجستان,فصل 39,0.00%
ایتالیا,فصل 68,0.00%
یونان,فصل 31,0.00%
عراق,فصل 07,0.00%
افغانستان,فصل 24,0.00%
هنگ کنگ,فصل 23,0.00%
هند,فصل 35,0.00%
تایلند,فصل 31,0.00%
فرانسه,فصل 15,0.00%
سوئد,فصل 35,0.00%
مجارستان,فصل 84,0.00%
بحرین,فصل 90,0.00%
عمان,فصل 28,0.00%
