Wrong country,فصل,%GT Total Import
چین,فصل 98,6.85%
چین,فصل 85,5.62%
امارات متحده عربی,فصل 85,5.46%
ترکیه,فصل 10,5.23%
چین,فصل 84,4.87%
امارات متحده عربی,فصل 84,3.74%
امارات متحده عربی,فصل 87,3.25%
امارات متحده عربی,فصل 10,2.80%
ترکیه,فصل 71,2.66%
فدراسیون روسیه,فصل 10,2.37%
چین,فصل 87,1.92%
ترکیه,فصل 87,1.92%
ترکیه,فصل 84,1.55%
سنگاپور,فصل 10,1.37%
امارات متحده عربی,فصل 71,1.34%
چین,فصل 73,1.23%
ترکیه,فصل 23,1.12%
چین,فصل 72,1.11%
امارات متحده عربی,فصل 29,1.05%
امارات متحده عربی,فصل 12,1.04%
چین,فصل 29,1.02%
چین,فصل 39,0.91%
امارات متحده عربی,فصل 38,0.87%
امارات متحده عربی,فصل 98,0.86%
امارات متحده عربی,فصل 90,0.84%
امارات متحده عربی,فصل 39,0.80%
چین,فصل 48,0.67%
چین,فصل 90,0.66%
امارات متحده عربی,فصل 17,0.63%
آلمان,فصل 87,0.59%
سویس,فصل 10,0.58%
امارات متحده عربی,فصل 48,0.55%
امارات متحده عربی,فصل 15,0.54%
چین,فصل 38,0.50%
امارات متحده عربی,فصل 47,0.49%
ترکیه,فصل 02,0.48%
ترکیه,فصل 85,0.48%
هنگ کنگ,فصل 10,0.47%
هند,فصل 08,0.44%
امارات متحده عربی,فصل 09,0.43%
امارات متحده عربی,فصل 30,0.43%
امارات متحده عربی,فصل 40,0.43%
انگلستان (بریتانیا),فصل 10,0.42%
چین,فصل 40,0.42%
امارات متحده عربی,فصل 27,0.41%
ترکیه,فصل 39,0.40%
آلمان,فصل 84,0.38%
سویس,فصل 90,0.37%
لبنان,فصل 87,0.37%
چین,فصل 27,0.36%
امارات متحده عربی,فصل 44,0.33%
عمان,فصل 84,0.32%
آلمان,فصل 85,0.32%
امارات متحده عربی,فصل 23,0.32%
چین,فصل 81,0.31%
ترکیه,فصل 55,0.30%
هند,فصل 09,0.28%
عمان,فصل 10,0.28%
تاجیکستان,فصل 52,0.27%
پاکستان,فصل 02,0.27%
مناطق ویژه,فصل 28,0.26%
پاکستان,فصل 10,0.25%
امارات متحده عربی,فصل 72,0.25%
امارات متحده عربی,فصل 07,0.24%
فدراسیون روسیه,فصل 44,0.24%
چین,فصل 28,0.24%
چین,فصل 70,0.24%
چین,فصل 76,0.23%
ترکیه,فصل 90,0.23%
ترکیه,فصل 08,0.23%
امارات متحده عربی,فصل 18,0.23%
اتریش,فصل 30,0.23%
فیلیپین,فصل 08,0.22%
عراق,فصل 87,0.22%
چین,فصل 32,0.22%
امارات متحده عربی,فصل 28,0.21%
ترکیه,فصل 24,0.21%
ترکیه,فصل 28,0.21%
ترکیه,فصل 29,0.20%
فدراسیون روسیه,فصل 85,0.19%
امارات متحده عربی,فصل 02,0.19%
چین,فصل 94,0.19%
ترکیه,فصل 18,0.19%
هند,فصل 10,0.19%
سویس,فصل 23,0.19%
چین,فصل 54,0.18%
مناطق آزاد,فصل 24,0.17%
چین,فصل 69,0.17%
هلند,فصل 90,0.17%
ایتالیا,فصل 84,0.17%
ترکیه,فصل 07,0.16%
امارات متحده عربی,فصل 55,0.16%
هلند,فصل 04,0.16%
ایتالیا,فصل 30,0.15%
کره (جنوبی),فصل 85,0.15%
مالزی,فصل 40,0.15%
چین,فصل 55,0.15%
ترکیه,فصل 72,0.15%
ایرلند,فصل 33,0.15%
امارات متحده عربی,فصل 32,0.15%
امارات متحده عربی,فصل 33,0.15%
عراق,فصل 76,0.15%
فدراسیون روسیه,فصل 84,0.15%
آلمان,فصل 90,0.15%
ترکیه,فصل 38,0.14%
چین,فصل 12,0.14%
هند,فصل 29,0.14%
قزاقستان,فصل 10,0.14%
ترکیه,فصل 32,0.14%
فدراسیون روسیه,فصل 15,0.14%
ایالات متحده,فصل 30,0.14%
کره (جنوبی),فصل 90,0.13%
سوریه,فصل 25,0.13%
پاکستان,فصل 08,0.13%
ترکیه,فصل 33,0.13%
آفریقای جنوبی,فصل 44,0.13%
هنگ کنگ,فصل 85,0.13%
کره (جنوبی),فصل 39,0.13%
امارات متحده عربی,فصل 73,0.13%
بلژیک,فصل 90,0.12%
هنگ کنگ,فصل 84,0.12%
چین,فصل 68,0.12%
امارات متحده عربی,فصل 21,0.12%
ترکیه,فصل 30,0.12%
عمان,فصل 12,0.11%
عراق,فصل 84,0.11%
آلمان,فصل 30,0.11%
ترکیه,فصل 44,0.11%
ترکیه,فصل 47,0.11%
هند,فصل 02,0.11%
امارات متحده عربی,فصل 76,0.11%
هند,فصل 30,0.11%
ترکیه,فصل 48,0.11%
قزاقستان,فصل 87,0.11%
عراق,فصل 71,0.10%
امارات متحده عربی,فصل 08,0.10%
ترکیه,فصل 35,0.10%
دانمارک,فصل 30,0.10%
آلمان,فصل 38,0.10%
عمان,فصل 29,0.09%
امارات متحده عربی,فصل 83,0.09%
ترکیه,فصل 15,0.09%
آلمان,فصل 24,0.09%
سویس,فصل 30,0.09%
ترکیه,فصل 40,0.09%
ترکیه,فصل 54,0.08%
پاکستان,فصل 12,0.08%
ترکیه,فصل 52,0.08%
کره (جنوبی),فصل 84,0.08%
امارات متحده عربی,فصل 31,0.08%
امارات متحده عربی,فصل 80,0.08%
امارات متحده عربی,فصل 52,0.08%
مالزی,فصل 98,0.08%
چین,فصل 31,0.08%
چین,فصل 82,0.08%
ایتالیا,فصل 90,0.08%
هند,فصل 90,0.08%
اتریش,فصل 90,0.08%
امارات متحده عربی,فصل 04,0.08%
چین,فصل 83,0.08%
امارات متحده عربی,فصل 24,0.08%
فدراسیون روسیه,فصل 52,0.08%
ترکیه,فصل 12,0.08%
هنگ کنگ,فصل 98,0.08%
اتریش,فصل 84,0.07%
چین,فصل 35,0.07%
کره (جنوبی),فصل 52,0.07%
امارات متحده عربی,فصل 82,0.07%
عراق,فصل 85,0.07%
بلاروس,فصل 55,0.07%
چین,فصل 59,0.07%
امارات متحده عربی,فصل 34,0.07%
ترکیه,فصل 34,0.07%
چین,فصل 34,0.07%
اسپانیا,فصل 30,0.06%
هنگ کنگ,فصل 48,0.06%
امارات متحده عربی,فصل 26,0.06%
ترکیه,فصل 31,0.06%
مناطق آزاد,فصل 27,0.06%
ویتنام,فصل 09,0.06%
گرجستان,فصل 02,0.06%
چین,فصل 74,0.06%
هند,فصل 07,0.06%
