Wrong country,فصل,%GT Total Import
امارات متحده عربی,فصل 33,0.15%
سری لانکا,فصل 09,0.15%
فدراسیون روسیه,فصل 15,0.15%
تاجیکستان,فصل 52,0.14%
مالزی,فصل 15,0.14%
اتریش,فصل 30,0.14%
هند,فصل 72,0.14%
امارات متحده عربی,فصل 18,0.14%
امارات متحده عربی,فصل 28,0.14%
چین,فصل 70,0.13%
فدراسیون روسیه,فصل 84,0.13%
آلمان,فصل 71,0.13%
ترکیه,فصل 38,0.13%
کره (جنوبی),فصل 39,0.13%
قزاقستان,فصل 10,0.13%
ژاپن,فصل 55,0.13%
ترکیه,فصل 30,0.12%
چین,فصل 31,0.12%
ایتالیا,فصل 30,0.12%
چین,فصل 55,0.12%
دانمارک,فصل 12,0.12%
امارات متحده عربی,فصل 21,0.12%
عراق,فصل 76,0.12%
ترکیه,فصل 48,0.12%
هنگ کنگ,فصل 85,0.12%
فدراسیون روسیه,فصل 44,0.12%
امارات متحده عربی,فصل 55,0.12%
امارات متحده عربی,فصل 56,0.11%
هنگ کنگ,فصل 29,0.11%
هلند,فصل 90,0.11%
برزیل,فصل 10,0.11%
امارات متحده عربی,فصل 26,0.11%
سنگاپور,فصل 10,0.11%
ترکیه,فصل 44,0.10%
ترکیه,فصل 29,0.10%
فدراسیون روسیه,فصل 07,0.10%
ترکیه,فصل 52,0.10%
ترکیه,فصل 31,0.10%
سویس,فصل 33,0.10%
چین,فصل 68,0.10%
امارات متحده عربی,فصل 52,0.09%
چین,فصل 76,0.09%
هنگ کنگ,فصل 84,0.09%
بلژیک,فصل 38,0.09%
برزیل,فصل 02,0.09%
ترکیه,فصل 32,0.09%
مالزی,فصل 98,0.09%
پاکستان,فصل 12,0.09%
ترکیه,فصل 33,0.09%
مناطق آزاد,فصل 72,0.08%
دانمارک,فصل 90,0.08%
پاکستان,فصل 02,0.08%
عراق,فصل 87,0.08%
فدراسیون روسیه,فصل 71,0.08%
امارات متحده عربی,فصل 30,0.08%
اسپانیا,فصل 84,0.08%
ترکیه,فصل 18,0.08%
عمان,فصل 12,0.08%
هلند,فصل 04,0.08%
کره (جنوبی),فصل 90,0.07%
ایتالیا,فصل 98,0.07%
مالزی,فصل 40,0.07%
امارات متحده عربی,فصل 13,0.07%
ترکیه,فصل 27,0.07%
اسپانیا,فصل 31,0.07%
آلمان,فصل 33,0.06%
آلمان,فصل 29,0.06%
بنگلادش,فصل 53,0.06%
چین,فصل 59,0.06%
امارات متحده عربی,فصل 34,0.06%
آلمان,فصل 39,0.06%
تایوان,فصل 29,0.06%
قطر,فصل 47,0.06%
ترکیه,فصل 54,0.06%
ازبکستان,فصل 52,0.06%
چین,فصل 25,0.06%
ترکیه,فصل 34,0.06%
هنگ کنگ,فصل 90,0.06%
تایلند,فصل 40,0.06%
ترکیه,فصل 40,0.06%
امارات متحده عربی,فصل 82,0.06%
آلمان,فصل 18,0.06%
امارات متحده عربی,فصل 35,0.05%
ایرلند,فصل 30,0.05%
مالزی,فصل 84,0.05%
اسپانیا,فصل 10,0.05%
ترکیه,فصل 35,0.05%
سویس,فصل 18,0.05%
آلمان,فصل 38,0.05%
هنگ کنگ,فصل 98,0.05%
چین,فصل 82,0.05%
عراق,فصل 40,0.05%
آلمان,فصل 69,0.05%
امارات متحده عربی,فصل 25,0.05%
چین,فصل 95,0.05%
ایتالیا,فصل 90,0.05%
هنگ کنگ,فصل 28,0.05%
هند,فصل 84,0.05%
بلاروس,فصل 55,0.05%
فرانسه,فصل 29,0.05%
هند,فصل 02,0.05%
آلمان,فصل 12,0.05%
مناطق آزاد,فصل 84,0.05%
امارات متحده عربی,فصل 31,0.05%
ترکیه,فصل 80,0.05%
آلمان,فصل 30,0.04%
امارات متحده عربی,فصل 20,0.04%
عمان,فصل 73,0.04%
تایلند,فصل 85,0.04%
سنگاپور,فصل 40,0.04%
برزیل,فصل 26,0.04%
گرجستان,فصل 54,0.04%
عمان,فصل 29,0.04%
ترکیه,فصل 07,0.04%
ترکیه,فصل 76,0.04%
چین,فصل 35,0.04%
چین,فصل 83,0.04%
ترکیه,فصل 56,0.04%
ژاپن,فصل 30,0.04%
امارات متحده عربی,فصل 69,0.04%
بلژیک,فصل 90,0.04%
ارمنستان,فصل 02,0.04%
فدراسیون روسیه,فصل 52,0.04%
ایرلند,فصل 33,0.04%
اسپانیا,فصل 32,0.04%
آلمان,فصل 35,0.04%
گرجستان,فصل 87,0.04%
امارات متحده عربی,فصل 08,0.04%
کره (جنوبی),فصل 84,0.04%
ویتنام,فصل 09,0.04%
سوئد,فصل 90,0.04%
عمان,فصل 84,0.04%
آلمان,فصل 68,0.03%
کره (جنوبی),فصل 85,0.03%
هند,فصل 12,0.03%
هند,فصل 20,0.03%
ایتالیا,فصل 38,0.03%
ایتالیا,فصل 29,0.03%
ایتالیا,فصل 85,0.03%
تایوان,فصل 72,0.03%
فدراسیون روسیه,فصل 29,0.03%
کره (جنوبی),فصل 52,0.03%
هنگ کنگ,فصل 39,0.03%
ترکیه,فصل 24,0.03%
ترکیه,فصل 59,0.03%
امارات متحده عربی,فصل 83,0.03%
هند,فصل 30,0.03%
مالزی,فصل 29,0.03%
کره (جنوبی),فصل 29,0.03%
امارات متحده عربی,فصل 80,0.03%
ژاپن,فصل 90,0.03%
ترکیه,فصل 37,0.03%
تایلند,فصل 87,0.03%
چین,فصل 34,0.03%
عمان,فصل 40,0.03%
اتریش,فصل 90,0.03%
سنگاپور,فصل 03,0.03%
آلمان,فصل 72,0.03%
هنگ کنگ,فصل 47,0.03%
تایلند,فصل 44,0.03%
هند,فصل 38,0.03%
کانادا,فصل 84,0.03%
امارات متحده عربی,فصل 94,0.03%
امارات متحده عربی,فصل 23,0.03%
امارات متحده عربی,فصل 03,0.03%
فدراسیون روسیه,فصل 23,0.03%
آلمان,فصل 40,0.03%
ترکیه,فصل 26,0.03%
اتریش,فصل 48,0.03%
ازبکستان,فصل 07,0.03%
چین,فصل 03,0.03%
ویتنام,فصل 40,0.02%
هنگ کنگ,فصل 10,0.02%
امارات متحده عربی,فصل 59,0.02%
چین,فصل 12,0.02%
عمان,فصل 10,0.02%
ایتالیا,فصل 39,0.02%
کویت,فصل 40,0.02%
امارات متحده عربی,فصل 75,0.02%
هند,فصل 14,0.02%
هند,فصل 32,0.02%
هنگ کنگ,فصل 72,0.02%
انگلستان (بریتانیا),فصل 38,0.02%
سویس,فصل 12,0.02%
اندونزی,فصل 09,0.02%
هلند,فصل 39,0.02%
افغانستان,فصل 52,0.02%
چین,فصل 74,0.02%
اتریش,فصل 38,0.02%
پاکستان,فصل 07,0.02%
هنگ کنگ,فصل 87,0.02%
ترکیه,فصل 25,0.02%
چین,فصل 96,0.02%
چین,فصل 09,0.02%
تایوان,فصل 39,0.02%
کره (جنوبی),فصل 48,0.02%
هنگ کنگ,فصل 38,0.02%
غنا,فصل 03,0.02%
لوکزامبورگ,فصل 29,0.02%
قزاقستان,فصل 87,0.02%
استرالیا,فصل 12,0.02%
هند,فصل 33,0.02%
آلمان,فصل 32,0.02%
چین,فصل 60,0.02%
آلمان,فصل 73,0.02%
دانمارک,فصل 35,0.02%
ترکیه,فصل 21,0.02%
کره (جنوبی),فصل 40,0.02%
ایالات متحده,فصل 21,0.02%
عراق,فصل 85,0.02%
هند,فصل 48,0.02%
پرتغال,فصل 90,0.02%
چین,فصل 49,0.02%
هند,فصل 54,0.02%
عمان,فصل 54,0.02%
تایوان,فصل 84,0.02%
مجارستان,فصل 90,0.02%
تایلند,فصل 20,0.02%
اسلواکی,فصل 29,0.02%
مالزی,فصل 76,0.02%
فیلیپین,فصل 08,0.02%
اتریش,فصل 13,0.02%
چین,فصل 91,0.02%
چین,فصل 44,0.02%
جمهوری چک,فصل 55,0.02%
اسپانیا,فصل 12,0.02%
پاکستان,فصل 01,0.02%
امارات متحده عربی,فصل 68,0.02%
آلمان,فصل 31,0.02%
ازبکستان,فصل 31,0.02%
قبرس,فصل 85,0.02%
اندونزی,فصل 44,0.02%
عراق,فصل 84,0.02%
عمان,فصل 23,0.02%
یونان,فصل 20,0.02%
کره (جنوبی),فصل 87,0.02%
چین,فصل 21,0.02%
اندونزی,فصل 48,0.02%
ترکیه,فصل 70,0.01%
اسپانیا,فصل 90,0.01%
فرانسه,فصل 33,0.01%
آلمان,فصل 81,0.01%
اسلواکی,فصل 98,0.01%
ایتالیا,فصل 32,0.01%
بلژیک,فصل 31,0.01%
قطر,فصل 39,0.01%
گرجستان,فصل 84,0.01%
امارات متحده عربی,فصل 70,0.01%
ژاپن,فصل 87,0.01%
افغانستان,فصل 07,0.01%
اسپانیا,فصل 33,0.01%
هند,فصل 27,0.01%
اسپانیا,فصل 48,0.01%
کره (جنوبی),فصل 72,0.01%
هند,فصل 40,0.01%
صربستان و مونته نگرو,فصل 52,0.01%
چین,فصل 26,0.01%
کلمبیا,فصل 02,0.01%
هلند,فصل 29,0.01%
کانادا,فصل 72,0.01%
ایتالیا,فصل 31,0.01%
ترکیه,فصل 68,0.01%
فدراسیون روسیه,فصل 02,0.01%
هند,فصل 90,0.01%
ترکیه,فصل 83,0.01%
جمهوری چک,فصل 25,0.01%
اندونزی,فصل 47,0.01%
سری لانکا,فصل 14,0.01%
سویس,فصل 29,0.01%
انگلستان (بریتانیا),فصل 39,0.01%
آلمان,فصل 59,0.01%
ایتالیا,فصل 34,0.01%
سویس,فصل 48,0.01%
کره (جنوبی),فصل 98,0.01%
چین,فصل 58,0.01%
فدراسیون روسیه,فصل 24,0.01%
تایوان,فصل 90,0.01%
اندونزی,فصل 08,0.01%
مالزی,فصل 38,0.01%
سنگاپور,فصل 39,0.01%
تایوان,فصل 85,0.01%
عراق,فصل 47,0.01%
فرانسه,فصل 90,0.01%
بلژیک,فصل 84,0.01%
گرجستان,فصل 38,0.01%
ایتالیا,فصل 33,0.01%
اتریش,فصل 39,0.01%
سوئد,فصل 38,0.01%
اسپانیا,فصل 03,0.01%
ترکیه,فصل 08,0.01%
فدراسیون روسیه,فصل 85,0.01%
ترکیه,فصل 13,0.01%
انگلستان (بریتانیا),فصل 40,0.01%
هند,فصل 28,0.01%
چین,فصل 13,0.01%
هنگ کنگ,فصل 25,0.01%
فدراسیون روسیه,فصل 48,0.01%
تایلند,فصل 84,0.01%
برزیل,فصل 40,0.01%
اسلواکی,فصل 87,0.01%
امارات متحده عربی,فصل 60,0.01%
آلمان,فصل 55,0.01%
آلمان,فصل 24,0.01%
ترکمنستان,فصل 31,0.01%
تاجیکستان,فصل 76,0.01%
چین,فصل 52,0.01%
چین,فصل 56,0.01%
آلمان,فصل 70,0.01%
ژاپن,فصل 85,0.01%
سوئد,فصل 31,0.01%
تایلند,فصل 10,0.01%
مناطق آزاد,فصل 85,0.01%
سویس,فصل 21,0.01%
کره (جنوبی),فصل 23,0.01%
ایالات متحده,فصل 38,0.01%
هلند,فصل 74,0.01%
هلند,فصل 35,0.01%
افغانستان,فصل 12,0.01%
هند,فصل 21,0.01%
اندونزی,فصل 15,0.01%
ایتالیا,فصل 83,0.01%
ترکیه,فصل 96,0.01%
چین,فصل 47,0.01%
هند,فصل 03,0.01%
مناطق آزاد,فصل 09,0.01%
مناطق ویژه,فصل 79,0.01%
سنگاپور,فصل 85,0.01%
هنگ کنگ,فصل 48,0.01%
هنگ کنگ,فصل 34,0.01%
عراق,فصل 26,0.01%
چین,فصل 75,0.01%
امارات متحده عربی,فصل 92,0.01%
لهستان,فصل 85,0.01%
هلند,فصل 37,0.01%
هنگ کنگ,فصل 94,0.01%
آلمان,فصل 82,0.01%
هلند,فصل 33,0.01%
کره (جنوبی),فصل 73,0.01%
اسپانیا,فصل 38,0.01%
اتریش,فصل 29,0.01%
اسپانیا,فصل 39,0.01%
ازبکستان,فصل 25,0.01%
ایالات متحده,فصل 90,0.01%
آلمان,فصل 34,0.01%
ترکمنستان,فصل 52,0.01%
ایتالیا,فصل 21,0.01%
ایتالیا,فصل 15,0.01%
لوکزامبورگ,فصل 23,0.01%
اسپانیا,فصل 85,0.01%
آلمان,فصل 21,0.01%
اسپانیا,فصل 35,0.01%
استرالیا,فصل 29,0.01%
انگلستان (بریتانیا),فصل 90,0.01%
دانمارک,فصل 21,0.01%
عراق,فصل 39,0.01%
چین,فصل 15,0.01%
هند,فصل 15,0.01%
مالزی,فصل 90,0.01%
مکزیک,فصل 31,0.01%
ایتالیا,فصل 73,0.01%
امارات متحده عربی,فصل 96,0.01%
جمهوری چک,فصل 38,0.01%
عراق,فصل 54,0.01%
اردن,فصل 28,0.01%
هند,فصل 07,0.01%
عراق,فصل 01,0.01%
تایلند,فصل 07,0.01%
جمهوری چک,فصل 84,0.01%
فدراسیون روسیه,فصل 90,0.01%
چین,فصل 37,0.01%
ایرلند,فصل 28,0.01%
تایوان,فصل 40,0.01%
امارات متحده عربی,فصل 91,0.01%
مناطق آزاد,فصل 33,0.01%
بلغارستان,فصل 73,0.01%
دانمارک,فصل 38,0.01%
قزاقستان,فصل 28,0.01%
اسپانیا,فصل 30,0.01%
سویس,فصل 91,0.01%
کره (جنوبی),فصل 38,0.01%
بلغارستان,فصل 84,0.01%
فدراسیون روسیه,فصل 40,0.01%
ترکیه,فصل 58,0.01%
آلمان,فصل 51,0.01%
عراق,فصل 73,0.01%
ترکیه,فصل 94,0.01%
کره (جنوبی),فصل 30,0.01%
ایتالیا,فصل 70,0.01%
هلند,فصل 06,0.01%
کنیا,فصل 09,0.01%
چین,فصل 86,0.01%
قبرس,فصل 29,0.01%
هند,فصل 13,0.01%
آلمان,فصل 28,0.01%
بلژیک,فصل 23,0.01%
عمان,فصل 85,0.01%
هند,فصل 98,0.01%
ایالات متحده,فصل 40,0.01%
ایرلند,فصل 38,0.01%
سویس,فصل 20,0.01%
امارات متحده عربی,فصل 95,0.01%
عراق,فصل 83,0.01%
عمان,فصل 32,0.01%
ترکیه,فصل 75,0.01%
دانمارک,فصل 33,0.01%
مواناکو,فصل 28,0.01%
فرانسه,فصل 84,0.01%
امارات متحده عربی,فصل 11,0.01%
قرقیزستان,فصل 07,0.00%
انگلستان (بریتانیا),فصل 01,0.00%
فرانسه,فصل 31,0.00%
عمان,فصل 69,0.00%
اتریش,فصل 85,0.00%
مناطق آزاد,فصل 38,0.00%
اندونزی,فصل 03,0.00%
فدراسیون روسیه,فصل 50,0.00%
ترکیه,فصل 04,0.00%
لوکزامبورگ,فصل 44,0.00%
انگلستان (بریتانیا),فصل 31,0.00%
افغانستان,فصل 08,0.00%
جمهوری چک,فصل 40,0.00%
لهستان,فصل 90,0.00%
بلژیک,فصل 15,0.00%
عمان,فصل 18,0.00%
انگلستان (بریتانیا),فصل 30,0.00%
فدراسیون روسیه,فصل 30,0.00%
ترکیه,فصل 82,0.00%
عمان,فصل 39,0.00%
امارات متحده عربی,فصل 79,0.00%
فرانسه,فصل 35,0.00%
بلژیک,فصل 85,0.00%
آلمان,فصل 17,0.00%
اندونزی,فصل 34,0.00%
قزاقستان,فصل 23,0.00%
عمان,فصل 33,0.00%
ایتالیا,فصل 47,0.00%
عراق,فصل 29,0.00%
استرالیا,فصل 68,0.00%
ترکیه,فصل 45,0.00%
سنگال,فصل 32,0.00%
بلژیک,فصل 21,0.00%
امارات متحده عربی,فصل 37,0.00%
دانمارک,فصل 32,0.00%
ترکیه,فصل 74,0.00%
سوئد,فصل 15,0.00%
اسلوونی,فصل 27,0.00%
یونان,فصل 31,0.00%
ترکیه,فصل 86,0.00%
کره (جنوبی),فصل 34,0.00%
آلمان,فصل 52,0.00%
هند,فصل 52,0.00%
فرانسه,فصل 32,0.00%
سیشل,فصل 85,0.00%
ایتالیا,فصل 68,0.00%
کانادا,فصل 07,0.00%
تایلند,فصل 96,0.00%
تایوان,فصل 73,0.00%
هند,فصل 25,0.00%
عراق,فصل 95,0.00%
قرقیزستان,فصل 52,0.00%
فدراسیون روسیه,فصل 28,0.00%
جمهوری آذربایجان,فصل 84,0.00%
ازبکستان,فصل 50,0.00%
فرانسه,فصل 38,0.00%
گرجستان,فصل 44,0.00%
امارات متحده عربی,فصل 50,0.00%
تایلند,فصل 06,0.00%
ایتالیا,فصل 48,0.00%
ایتالیا,فصل 96,0.00%
لهستان,فصل 34,0.00%
بلژیک,فصل 29,0.00%
جمهوری چک,فصل 30,0.00%
سنگاپور,فصل 29,0.00%
سویس,فصل 85,0.00%
لبنان,فصل 85,0.00%
هند,فصل 39,0.00%
افغانستان,فصل 09,0.00%
فرانسه,فصل 23,0.00%
ایتالیا,فصل 76,0.00%
اتیوپی,فصل 12,0.00%
هند,فصل 08,0.00%
بلژیک,فصل 34,0.00%
هند,فصل 53,0.00%
سویس,فصل 32,0.00%
بلژیک,فصل 13,0.00%
هلند,فصل 17,0.00%
سویس,فصل 40,0.00%
کانادا,فصل 86,0.00%
امارات متحده عربی,فصل 58,0.00%
سری لانکا,فصل 08,0.00%
ایتالیا,فصل 58,0.00%
امارات متحده عربی,فصل 14,0.00%
فدراسیون روسیه,فصل 70,0.00%
آلمان,فصل 54,0.00%
چین,فصل 30,0.00%
مجارستان,فصل 28,0.00%
سویس,فصل 84,0.00%
انگلستان (بریتانیا),فصل 12,0.00%
تایلند,فصل 56,0.00%
امارات متحده عربی,فصل 04,0.00%
چین,فصل 17,0.00%
مناطق آزاد,فصل 60,0.00%
امارات متحده عربی,فصل 53,0.00%
پرتغال,فصل 48,0.00%
هلند,فصل 21,0.00%
ایتالیا,فصل 40,0.00%
فرانسه,فصل 85,0.00%
کانادا,فصل 27,0.00%
اسپانیا,فصل 73,0.00%
صربستان و مونته نگرو,فصل 21,0.00%
فرانسه,فصل 82,0.00%
ویتنام,فصل 70,0.00%
لهستان,فصل 70,0.00%
لبنان,فصل 84,0.00%
سوئد,فصل 23,0.00%
انگلستان (بریتانیا),فصل 29,0.00%
ویتنام,فصل 08,0.00%
فرانسه,فصل 87,0.00%
پرتغال,فصل 85,0.00%
سری لانکا,فصل 72,0.00%
هند,فصل 76,0.00%
ایتالیا,فصل 27,0.00%
ژاپن,فصل 96,0.00%
تایوان,فصل 82,0.00%
اسپانیا,فصل 29,0.00%
چین,فصل 33,0.00%
امارات متحده عربی,فصل 65,0.00%
سویس,فصل 73,0.00%
سویس,فصل 38,0.00%
آلمان,فصل 13,0.00%
لهستان,فصل 03,0.00%
هند,فصل 87,0.00%
موریس,فصل 90,0.00%
فرانسه,فصل 40,0.00%
هنگ کنگ,فصل 73,0.00%
ارمنستان,فصل 32,0.00%
آلمان,فصل 98,0.00%
مالزی,فصل 48,0.00%
ترکیه,فصل 81,0.00%
بلژیک,فصل 70,0.00%
ایتالیا,فصل 74,0.00%
ویتنام,فصل 35,0.00%
مناطق ویژه,فصل 87,0.00%
استرالیا,فصل 90,0.00%
مالزی,فصل 39,0.00%
آلمان,فصل 15,0.00%
کانادا,فصل 76,0.00%
ونزوئلا,فصل 07,0.00%
ارمنستان,فصل 27,0.00%
ایالات متحده,فصل 13,0.00%
هند,فصل 31,0.00%
هنگ کنگ,فصل 59,0.00%
چین,فصل 64,0.00%
سوئد,فصل 84,0.00%
ویتنام,فصل 12,0.00%
تایوان,فصل 98,0.00%
پرتغال,فصل 70,0.00%
اتریش,فصل 28,0.00%
کره (جنوبی),فصل 27,0.00%
کره (جنوبی),فصل 28,0.00%
پرتغال,فصل 73,0.00%
قطر,فصل 84,0.00%
ویتنام,فصل 84,0.00%
ترکیه,فصل 53,0.00%
اسلواکی,فصل 90,0.00%
بلژیک,فصل 33,0.00%
اسپانیا,فصل 34,0.00%
عمان,فصل 87,0.00%
ایالات متحده,فصل 29,0.00%
عمان,فصل 28,0.00%
عمان,فصل 90,0.00%
لهستان,فصل 37,0.00%
اسلوونی,فصل 30,0.00%
کانادا,فصل 73,0.00%
فدراسیون روسیه,فصل 39,0.00%
ایتالیا,فصل 82,0.00%
دانمارک,فصل 48,0.00%
مالزی,فصل 34,0.00%
رومانی,فصل 44,0.00%
اسلوونی,فصل 85,0.00%
اتریش,فصل 40,0.00%
فدراسیون روسیه,فصل 35,0.00%
رومانی,فصل 84,0.00%
ایتالیا,فصل 03,0.00%
اسپانیا,فصل 17,0.00%
برزیل,فصل 30,0.00%
آلمان,فصل 07,0.00%
هنگ کنگ,فصل 40,0.00%
اندونزی,فصل 29,0.00%
فدراسیون روسیه,فصل 72,0.00%
کره (جنوبی),فصل 83,0.00%
لیتوانی,فصل 85,0.00%
عراق,فصل 82,0.00%
یونان,فصل 32,0.00%
پاکستان,فصل 53,0.00%
ترکیه,فصل 95,0.00%
کره (جنوبی),فصل 35,0.00%
ایتالیا,فصل 56,0.00%
اسپانیا,فصل 15,0.00%
برزیل,فصل 90,0.00%
اسپانیا,فصل 40,0.00%
ایالات متحده,فصل 30,0.00%
هند,فصل 73,0.00%
کانادا,فصل 85,0.00%
ترکیه,فصل 60,0.00%
ترکیه,فصل 69,0.00%
امارات متحده عربی,فصل 81,0.00%
ارمنستان,فصل 84,0.00%
هنگ کنگ,فصل 83,0.00%
هنگ کنگ,فصل 32,0.00%
فرانسه,فصل 73,0.00%
چین,فصل 42,0.00%
اسلوونی,فصل 84,0.00%
ترکیه,فصل 01,0.00%
چین,فصل 92,0.00%
آلمان,فصل 25,0.00%
مناطق آزاد,فصل 90,0.00%
ارمنستان,فصل 48,0.00%
فدراسیون روسیه,فصل 96,0.00%
بلژیک,فصل 39,0.00%
لهستان,فصل 39,0.00%
چین,فصل 23,0.00%
لهستان,فصل 29,0.00%
لهستان,فصل 40,0.00%
امارات متحده عربی,فصل 89,0.00%
ژاپن,فصل 84,0.00%
لهستان,فصل 82,0.00%
فرانسه,فصل 48,0.00%
هند,فصل 34,0.00%
مناطق ویژه,فصل 84,0.00%
لیتوانی,فصل 84,0.00%
استرالیا,فصل 30,0.00%
مناطق آزاد,فصل 94,0.00%
تایوان,فصل 32,0.00%
بلژیک,فصل 58,0.00%
انگلستان (بریتانیا),فصل 28,0.00%
بلژیک,فصل 35,0.00%
کره (جنوبی),فصل 32,0.00%
هند,فصل 70,0.00%
بلاروس,فصل 44,0.00%
هند,فصل 59,0.00%
انگلستان (بریتانیا),فصل 21,0.00%
انگلستان (بریتانیا),فصل 35,0.00%
ارمنستان,فصل 39,0.00%
افغانستان,فصل 25,0.00%
انگلستان (بریتانیا),فصل 84,0.00%
ایالات متحده,فصل 39,0.00%
بلژیک,فصل 60,0.00%
مناطق آزاد,فصل 39,0.00%
ترکیه,فصل 78,0.00%
ایتالیا,فصل 35,0.00%
هلند,فصل 56,0.00%
مناطق ویژه,فصل 85,0.00%
تایلند,فصل 03,0.00%
امارات متحده عربی,فصل 86,0.00%
آلمان,فصل 48,0.00%
کره (جنوبی),فصل 86,0.00%
پرتغال,فصل 32,0.00%
رومانی,فصل 73,0.00%
افغانستان,فصل 85,0.00%
ایتالیا,فصل 59,0.00%
فدراسیون روسیه,فصل 94,0.00%
تایلند,فصل 82,0.00%
فرانسه,فصل 13,0.00%
هند,فصل 96,0.00%
انگلستان (بریتانیا),فصل 85,0.00%
مناطق ویژه,فصل 90,0.00%
انگلستان (بریتانیا),فصل 34,0.00%
تایلند,فصل 90,0.00%
ترکیه,فصل 17,0.00%
اندونزی,فصل 98,0.00%
مناطق آزاد,فصل 70,0.00%
کره (جنوبی),فصل 56,0.00%
تایلند,فصل 70,0.00%
لهستان,فصل 84,0.00%
هند,فصل 82,0.00%
پرتغال,فصل 84,0.00%
مالزی,فصل 69,0.00%
سیشل,فصل 03,0.00%
قطر,فصل 87,0.00%
مناطق آزاد,فصل 29,0.00%
دانمارک,فصل 34,0.00%
تایوان,فصل 35,0.00%
فرانسه,فصل 15,0.00%
اسپانیا,فصل 69,0.00%
کره (جنوبی),فصل 74,0.00%
ایتالیا,فصل 72,0.00%
هلند,فصل 40,0.00%
بلاروس,فصل 87,0.00%
عراق,فصل 96,0.00%
فرانسه,فصل 39,0.00%
سنگاپور,فصل 38,0.00%
قطر,فصل 82,0.00%
امارات متحده عربی,فصل 49,0.00%
مناطق ویژه,فصل 33,0.00%
مناطق ویژه,فصل 40,0.00%
هنگ کنگ,فصل 35,0.00%
کویت,فصل 71,0.00%
امارات متحده عربی,فصل 74,0.00%
موریس,فصل 09,0.00%
تایلند,فصل 73,0.00%
رومانی,فصل 85,0.00%
فرانسه,فصل 86,0.00%
هند,فصل 74,0.00%
آلمان,فصل 96,0.00%
مجارستان,فصل 84,0.00%
آلمان,فصل 27,0.00%
آلمان,فصل 11,0.00%
مناطق ویژه,فصل 70,0.00%
ترکیه,فصل 64,0.00%
