Wrong country,فصل,%GT Total Import
ترکیه,فصل 71,7.63%
چین,فصل 71,6.15%
امارات متحده عربی,فصل 71,5.88%
امارات متحده عربی,فصل 10,5.32%
چین,فصل 98,4.04%
چین,فصل 84,3.98%
چین,فصل 85,3.30%
امارات متحده عربی,فصل 84,2.84%
امارات متحده عربی,فصل 85,2.47%
امارات متحده عربی,فصل 15,2.25%
ترکیه,فصل 10,2.00%
ترکیه,فصل 87,1.60%
ترکیه,فصل 12,1.60%
هند,فصل 10,1.48%
چین,فصل 87,1.39%
پاکستان,فصل 10,1.31%
آلمان,فصل 84,1.30%
هلند,فصل 23,1.28%
قطر,فصل 23,1.21%
امارات متحده عربی,فصل 87,1.14%
امارات متحده عربی,فصل 98,0.94%
هلند,فصل 12,0.91%
ترکیه,فصل 84,0.84%
امارات متحده عربی,فصل 29,0.83%
چین,فصل 72,0.81%
چین,فصل 27,0.81%
چین,فصل 39,0.78%
چین,فصل 29,0.72%
امارات متحده عربی,فصل 39,0.71%
چین,فصل 90,0.62%
امارات متحده عربی,فصل 90,0.59%
ترکیه,فصل 15,0.55%
ایتالیا,فصل 84,0.54%
امارات متحده عربی,فصل 12,0.54%
ترکیه,فصل 02,0.47%
امارات متحده عربی,فصل 38,0.47%
مناطق ویژه,فصل 76,0.47%
دانمارک,فصل 30,0.46%
چین,فصل 38,0.46%
ترکیه,فصل 85,0.45%
امارات متحده عربی,فصل 40,0.44%
چین,فصل 10,0.44%
چین,فصل 73,0.43%
سویس,فصل 30,0.41%
امارات متحده عربی,فصل 73,0.41%
امارات متحده عربی,فصل 48,0.39%
چین,فصل 40,0.37%
آلمان,فصل 85,0.37%
امارات متحده عربی,فصل 54,0.35%
فدراسیون روسیه,فصل 10,0.35%
ترکیه,فصل 39,0.34%
امارات متحده عربی,فصل 72,0.32%
امارات متحده عربی,فصل 09,0.32%
چین,فصل 81,0.32%
هنگ کنگ,فصل 71,0.32%
امارات متحده عربی,فصل 76,0.32%
ترکیه,فصل 72,0.31%
چین,فصل 48,0.31%
امارات متحده عربی,فصل 17,0.30%
ترکیه,فصل 47,0.30%
فرانسه,فصل 30,0.29%
امارات متحده عربی,فصل 07,0.29%
آلمان,فصل 87,0.29%
سویس,فصل 90,0.28%
سویس,فصل 10,0.28%
سویس,فصل 24,0.27%
ترکیه,فصل 55,0.25%
امارات متحده عربی,فصل 24,0.24%
مناطق آزاد,فصل 10,0.24%
عراق,فصل 71,0.24%
استرالیا,فصل 27,0.24%
ترکیه,فصل 90,0.24%
امارات متحده عربی,فصل 27,0.24%
امارات متحده عربی,فصل 44,0.23%
آلمان,فصل 90,0.23%
ترکیه,فصل 73,0.22%
امارات متحده عربی,فصل 47,0.21%
ترکیه,فصل 28,0.21%
چین,فصل 54,0.19%
هند,فصل 09,0.19%
هند,فصل 29,0.19%
چین,فصل 28,0.19%
چین,فصل 69,0.18%
ترکیه,فصل 98,0.18%
هلند,فصل 84,0.18%
اتریش,فصل 84,0.18%
استرالیا,فصل 02,0.17%
چین,فصل 32,0.17%
انگلستان (بریتانیا),فصل 23,0.17%
عمان,فصل 71,0.17%
چین,فصل 94,0.16%
امارات متحده عربی,فصل 02,0.16%
امارات متحده عربی,فصل 32,0.15%
