Wrong country,فصل,%GT Total Export
ترکیه,فصل 27,7.30%
امارات متحده عربی,فصل 27,6.83%
چین,فصل 27,6.26%
چین,فصل 29,4.03%
چین,فصل 26,3.50%
امارات متحده عربی,فصل 74,3.42%
ترکیه,فصل 31,2.94%
چین,فصل 39,2.80%
ترکیه,فصل 76,2.31%
عراق,فصل 27,1.90%
پاکستان,فصل 27,1.89%
عراق,فصل 72,1.88%
هند,فصل 08,1.76%
امارات متحده عربی,فصل 72,1.68%
اندونزی,فصل 72,1.60%
ترکیه,فصل 74,1.39%
عراق,فصل 39,1.34%
پاکستان,فصل 08,1.06%
هند,فصل 28,1.04%
عراق,فصل 04,1.04%
امارات متحده عربی,فصل 08,1.02%
چین,فصل 74,1.00%
عراق,فصل 84,0.96%
افغانستان,فصل 27,0.95%
امارات متحده عربی,فصل 29,0.91%
عراق,فصل 07,0.83%
ترکیه,فصل 72,0.68%
افغانستان,فصل 39,0.67%
عمان,فصل 27,0.66%
ترکیه,فصل 08,0.61%
عراق,فصل 08,0.60%
عمان,فصل 72,0.59%
فدراسیون روسیه,فصل 07,0.55%
عراق,فصل 69,0.55%
امارات متحده عربی,فصل 84,0.53%
پاکستان,فصل 04,0.53%
عراق,فصل 85,0.52%
فدراسیون روسیه,فصل 08,0.51%
ترکیه,فصل 79,0.51%
بنگلادش,فصل 27,0.50%
امارات متحده عربی,فصل 26,0.46%
افغانستان,فصل 72,0.46%
چین,فصل 72,0.45%
عراق,فصل 20,0.44%
تایوان,فصل 72,0.44%
امارات متحده عربی,فصل 07,0.43%
تاجیکستان,فصل 72,0.43%
ترکیه,فصل 39,0.41%
ترکیه,فصل 28,0.41%
تایلند,فصل 72,0.41%
مناطق ویژه,فصل 38,0.41%
افغانستان,فصل 08,0.40%
پاکستان,فصل 39,0.38%
عراق,فصل 19,0.38%
افغانستان,فصل 07,0.33%
ازبکستان,فصل 08,0.33%
مناطق ویژه,فصل 27,0.33%
عراق,فصل 73,0.31%
افغانستان,فصل 04,0.31%
عمان,فصل 25,0.31%
غنا,فصل 72,0.30%
ازبکستان,فصل 39,0.30%
هند,فصل 27,0.29%
عمان,فصل 31,0.28%
قزاقستان,فصل 08,0.27%
عراق,فصل 68,0.26%
کنیا,فصل 86,0.26%
امارات متحده عربی,فصل 28,0.24%
ازبکستان,فصل 72,0.22%
افغانستان,فصل 25,0.22%
عراق,فصل 38,0.22%
هند,فصل 31,0.21%
جمهوری آذربایجان,فصل 39,0.21%
عراق,فصل 70,0.21%
هند,فصل 72,0.21%
چین,فصل 03,0.19%
کویت,فصل 72,0.18%
امارات متحده عربی,فصل 03,0.18%
مالزی,فصل 26,0.18%
عراق,فصل 25,0.17%
افغانستان,فصل 17,0.17%
سری لانکا,فصل 31,0.17%
عراق,فصل 44,0.17%
امارات متحده عربی,فصل 09,0.17%
جمهوری آذربایجان,فصل 04,0.17%
قرقیزستان,فصل 08,0.17%
جمهوری آذربایجان,فصل 86,0.16%
چین,فصل 25,0.16%
پاکستان,فصل 25,0.15%
کره (جنوبی),فصل 26,0.15%
عراق,فصل 76,0.15%
تاجیکستان,فصل 39,0.14%
ترکمنستان,فصل 39,0.14%
ارمنستان,فصل 72,0.14%
پاکستان,فصل 72,0.14%
افغانستان,فصل 57,0.14%
افغانستان,فصل 20,0.14%
چین,فصل 76,0.13%
گرجستان,فصل 72,0.13%
عراق,فصل 21,0.13%
ترکمنستان,فصل 72,0.13%
ترکمنستان,فصل 08,0.13%
جمهوری آذربایجان,فصل 07,0.12%
فدراسیون روسیه,فصل 39,0.12%
قزاقستان,فصل 39,0.12%
ترکمنستان,فصل 85,0.12%
عراق,فصل 57,0.12%
افغانستان,فصل 70,0.12%
چین,فصل 08,0.12%
هند,فصل 26,0.12%
ترکیه,فصل 70,0.12%
